game,early_noop,mid_noop,late_noop,early_vs_late_U,early_vs_late_p
Pong,0.8656437909917888,0.8722929772604159,0.8668661980183927,31949333571.5,0.20154664617140794
SpaceInvaders,0.4417320483935747,0.43571838345727343,0.41944915263339927,110783161811.5,1.5889167526014487e-104
