subject,game,game_name,day,lag1_autocorr,n_steps
sub_2,2,SpaceInvaders,2,0.8346266376896645,2141
sub_2,2,SpaceInvaders,2,0.8421099928942074,3917
sub_2,2,SpaceInvaders,2,0.8319856878925617,4261
sub_2,2,SpaceInvaders,2,0.8458762916052441,3373
sub_2,2,SpaceInvaders,2,0.8495230337945919,10881
sub_2,2,SpaceInvaders,3,0.8403887942044981,4083
sub_2,2,SpaceInvaders,3,0.8471236363147752,3527
sub_2,2,SpaceInvaders,3,0.8463114486682587,7298
sub_2,2,SpaceInvaders,3,0.8471022387663831,8271
sub_2,2,SpaceInvaders,3,0.796546086165751,1332
sub_2,2,SpaceInvaders,3,0.8076324929957467,1959
sub_2,2,SpaceInvaders,3,0.8400275468919929,6249
sub_2,2,SpaceInvaders,3,0.8513830970121086,10213
sub_2,2,SpaceInvaders,3,0.8365616834621871,5845
sub_2,2,SpaceInvaders,3,0.875116734620602,15567
sub_2,2,SpaceInvaders,3,0.8635056892839188,7454
sub_2,2,SpaceInvaders,3,0.8233050072429576,2064
sub_2,2,SpaceInvaders,4,0.8361567369503591,2801
sub_2,2,SpaceInvaders,4,0.8402474034674692,2536
sub_2,2,SpaceInvaders,4,0.8508393774105311,11867
sub_2,2,SpaceInvaders,4,0.8368704364572658,2329
sub_2,2,SpaceInvaders,4,0.8531286469238126,3752
sub_2,2,SpaceInvaders,4,0.7860635342170672,390
sub_2,2,SpaceInvaders,4,0.8651460695711486,11729
sub_2,2,SpaceInvaders,4,0.8521175917946403,3469
sub_2,2,SpaceInvaders,4,0.8554793276721485,3730
sub_2,2,SpaceInvaders,4,0.8256700404644977,5284
sub_2,2,SpaceInvaders,4,0.8503810410507674,11081
sub_2,2,SpaceInvaders,4,0.8349643941946416,3214
sub_2,2,SpaceInvaders,4,0.8557124827867492,8163
sub_3,1,Pong,1,0.8617454896740226,11643
sub_3,1,Pong,1,0.9187360214212922,11639
sub_3,1,Pong,2,0.8790343902036335,11644
sub_3,1,Pong,2,0.8563579657978989,11652
sub_3,1,Pong,2,0.8768039081362916,11694
sub_3,1,Pong,3,0.877414116215484,11670
sub_3,1,Pong,3,0.8819317134675377,11665
sub_3,1,Pong,3,0.9013242292935366,11682
