event_id,file,subject,game,bout_length,cross2,is_long,bout_class,n_real_steps_onset_to_commit,entropy_actor_pos0,entropy_actor_pos1,entropy_actor_pos2,entropy_actor_pos3,entropy_actor_pos4,entropy_actor_pos5,entropy_actor_pos6,entropy_actor_pos7,entropy_actor_pos8,entropy_actor_pos9,entropy_actor_pos10,entropy_actor_pos11,entropy_actor_pos12,entropy_actor_pos13,entropy_actor_pos14,entropy_actor_pos15,entropy_actor_pos16,entropy_actor_pos17,entropy_actor_pos18,entropy_actor_pos19,entropy_actor_pos20,entropy_actor_pos21,entropy_actor_pos22,entropy_actor_pos23,entropy_actor_pos24,entropy_actor_pos25,entropy_actor_pos26,entropy_actor_pos27,entropy_actor_pos28,entropy_actor_pos29,entropy_actor_pos30,entropy_actor_pos31,entropy_actor_pos32,entropy_actor_pos33,entropy_actor_pos34,entropy_actor_pos35,entropy_actor_pos36,entropy_actor_pos37,entropy_actor_pos38,entropy_actor_pos39,entropy_actor_pos40,entropy_actor_pos41,entropy_actor_pos42,entropy_actor_pos43,entropy_actor_pos44,entropy_actor_pos45,entropy_actor_pos46,entropy_actor_pos47,entropy_actor_pos48,entropy_actor_pos49,margin_actor_pos0,margin_actor_pos1,margin_actor_pos2,margin_actor_pos3,margin_actor_pos4,margin_actor_pos5,margin_actor_pos6,margin_actor_pos7,margin_actor_pos8,margin_actor_pos9,margin_actor_pos10,margin_actor_pos11,margin_actor_pos12,margin_actor_pos13,margin_actor_pos14,margin_actor_pos15,margin_actor_pos16,margin_actor_pos17,margin_actor_pos18,margin_actor_pos19,margin_actor_pos20,margin_actor_pos21,margin_actor_pos22,margin_actor_pos23,margin_actor_pos24,margin_actor_pos25,margin_actor_pos26,margin_actor_pos27,margin_actor_pos28,margin_actor_pos29,margin_actor_pos30,margin_actor_pos31,margin_actor_pos32,margin_actor_pos33,margin_actor_pos34,margin_actor_pos35,margin_actor_pos36,margin_actor_pos37,margin_actor_pos38,margin_actor_pos39,margin_actor_pos40,margin_actor_pos41,margin_actor_pos42,margin_actor_pos43,margin_actor_pos44,margin_actor_pos45,margin_actor_pos46,margin_actor_pos47,margin_actor_pos48,margin_actor_pos49
sub001-ses04-block2-game2_000::b0001,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,9,26,0,Short,10,0.4770488994336012,0.48320560994085837,0.4893623204481156,0.4955190309553728,0.50167574146263,0.5078324519698872,0.5156279069251071,0.5247343574386971,0.533840807952287,0.5429472584658771,0.552053708979467,0.5551702760923001,0.5103677759990761,0.4655652759058523,0.4207627758126284,0.3759602757194046,0.33115777562618065,0.3481842806097244,0.39612528813165176,0.4440662956535793,0.49200730317550667,0.5399483106974342,0.5768829054061446,0.5752950552685955,0.5737072051310463,0.5721193549934973,0.5705315048559482,0.568943654718399,0.5682374997705242,0.567783257733985,0.5673290156974458,0.5668747736609066,0.5664205316243672,0.5736395512075568,0.5962050940302037,0.6187706368528506,0.6413361796754975,0.6639017224981445,0.6864672653207915,0.6712646889492415,0.6513410976784171,0.6314175064075926,0.6114939151367682,0.5915703238659437,0.5944673784440508,0.6258902403333227,0.6573131022225945,0.6887359641118664,0.7201588260011382,0.7515816878904101,0.7714771486297393,0.7805022110548668,0.7895272734799943,0.7985523359051219,0.8075773983302494,0.816602460755377,0.8191427517492159,0.8164952255980241,0.8138476994468322,0.8112001732956403,0.8085526471444484,0.8081807938231942,0.8260143231414409,0.8438478524596875,0.8616813817779342,0.8795149110961809,0.8973484404144275,0.8891261157084416,0.8678758639903393,0.8466256122722371,0.825375360554135,0.8041251088360327,0.7882135557342957,0.7909874477898371,0.7937613398453786,0.7965352319009199,0.7993091239564614,0.8020830160120027,0.8007842456826143,0.7983218575289601,0.7958594693753059,0.7933970812216518,0.7909346930679976,0.7871126817764624,0.7805714242091651,0.7740301666418679,0.7674889090745707,0.7609476515072734,0.7544063939399761,0.7621992771746404,0.77178392800955,0.7813685788444595,0.7909532296793691,0.8005378805142785,0.7986553554235611,0.7824388604258097,0.7662223654280583,0.750005870430307,0.7337893754325555,0.7175728804348042
sub001-ses04-block2-game2_000::b0002,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,16,26,0,Short,17,0.39742211260837446,0.5005858320295218,0.6037495514506692,0.7069132708718164,0.7052326311843441,0.6965623675562971,0.6878921039282501,0.6925510135272017,0.6991140907300104,0.705677167932819,0.7188216074221128,0.7334848228236724,0.748148038225232,0.7470613214978327,0.7407246273941135,0.7343879332903943,0.7370330000145406,0.7437606852968076,0.7504883705790745,0.7358533857063732,0.7084007987406907,0.6809482117750083,0.6755957481536663,0.6874322693557002,0.699268790557734,0.7172760372696401,0.7414540094914179,0.7656319817131959,0.7541619267822531,0.6968586940835261,0.6395554613847994,0.5981848823932172,0.5833687262468771,0.5685525701005368,0.5336785650378619,0.45467729235925103,0.3756760196806397,0.33691415430301064,0.41887051082833066,0.5008268673536501,0.5709394120946869,0.5897287724371617,0.6085181327796364,0.6324312299269641,0.6922104847082626,0.7519897394895614,0.803892759462075,0.7376522573028015,0.671411755143528,0.6051712529842546,0.8364325955938953,0.7990188040100874,0.7616050124262795,0.7241912208424717,0.7296696661666972,0.7380075939514581,0.746345521736219,0.7462456551454832,0.7449403893582478,0.7436351235710125,0.7327446767679228,0.7196422651150205,0.7065398534621182,0.7110725618059416,0.7214836434820068,0.7318947251580721,0.7311746709720149,0.7253950095759022,0.7196153481797896,0.7250839449325974,0.7373014965747576,0.749519048216918,0.7519449723771955,0.7467551862737865,0.7415654001703774,0.7335879108341721,0.7228227182651705,0.7120575256961689,0.7162735575241366,0.7397511635767794,0.7632287696294221,0.7803112967712518,0.7867353590617259,0.7931594213522,0.8083203469890328,0.8427023719878545,0.8770843969866763,0.8937081516370833,0.8570570952422445,0.8204060388474059,0.7886943897022753,0.7783868386392138,0.7680792875761522,0.7561410605435919,0.7327881017245399,0.7094351429054878,0.6891915981559477,0.7155892644490901,0.7419869307422324,0.7683845970353749
sub001-ses04-block2-game2_000::b0003,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,20,26,0,Short,21,1.0568568856226188,0.9337531473706624,0.810649409118706,0.7826964222365765,0.8325940501115785,0.8748469502341855,0.848297300585237,0.8217476509362884,0.7846341154662516,0.7418323337848595,0.7083388326474576,0.7120784536860169,0.7158180747245763,0.7022996291960956,0.6830284948119348,0.6712901218801902,0.6771281923374164,0.6829662627946426,0.6973158390562881,0.7131674457540077,0.7370318428440512,0.7729154255225806,0.8087990082011101,0.7710086378480941,0.7293406910197335,0.7240939138591449,0.7552683063663279,0.7851928571753598,0.7913704157195134,0.797547974263667,0.7978067644530092,0.7941197090724772,0.7878458163303391,0.7669131785391005,0.7459805407478618,0.7473157150371537,0.7581942373609588,0.7644651771110995,0.7569133691402464,0.7493615611693933,0.7210447009018999,0.687536577560246,0.6640252580671827,0.6590794314357882,0.6541336048043938,0.6286458623591331,0.6008756848234427,0.5882370484926913,0.5940925180790881,0.599947987665485,0.33229408239868824,0.46854671235552403,0.6047993423123599,0.6500481156622286,0.6208391881518518,0.5973093773292504,0.624891616696629,0.6524738560640075,0.6768928500703103,0.6996085581129571,0.7176405152573139,0.7169374688085113,0.7162344223597087,0.7121692171521069,0.7069832923582388,0.7074236482178543,0.7209919922689325,0.7345603363200106,0.7232581038213182,0.7075669460491367,0.6931596533703952,0.6806781583318136,0.668196663293232,0.6839799622762818,0.7012508819973122,0.7036697292684364,0.6912365040896546,0.6786789997267374,0.6637601908652486,0.6488413820037598,0.6494082886926996,0.6602990057485922,0.6709597907489754,0.6803176274348052,0.689675464120635,0.6894270040297121,0.6850615596058952,0.6824421599841157,0.6850608947684488,0.6876796295527817,0.6956063857397976,0.7048601472774844,0.7169698138840969,0.7343833041901431,0.7517967944961892,0.7639117581300319,0.775437996578074,0.7824299521591961,0.7838800064585268,0.7853300607578575
sub001-ses04-block2-game2_000::b0004,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,13,26,0,Short,14,0.7702928145916756,0.7529460431090785,0.7355992716264815,0.7182525001438844,0.7075807078916009,0.7191588464070293,0.7307369849224578,0.7423151234378862,0.755842960693037,0.7716454464778643,0.7874479322626914,0.8032504180475185,0.7883191490794579,0.759728433554558,0.7311377180296582,0.7025470025047584,0.7161493238843902,0.7332677316727332,0.7503861394610761,0.7663409395960848,0.7758958976377547,0.7854508556794246,0.7950058137210945,0.7957322755460876,0.7823331434243976,0.7689340113027077,0.7555348791810178,0.7406807615834696,0.7249172780635099,0.7091537945435502,0.6933903110235907,0.7154112075979128,0.7443019914621045,0.7731927753262963,0.7977362401576683,0.7701118765952043,0.7424875130327401,0.714863149470276,0.6979926282709483,0.7053182523886781,0.7126438765064079,0.7199695006241378,0.7302067800533191,0.7429397640351729,0.7556727480170268,0.7684057319988807,0.7762723675806857,0.7826790986424761,0.7890858297042664,0.7954925607660568,0.5057466732238873,0.5524908326732894,0.5992349921226915,0.6459791515720935,0.681658137827512,0.6804532134363183,0.6792482890451245,0.6780433646539307,0.6723893197094305,0.661544634119406,0.6506999485293815,0.639855262939357,0.6490374214984419,0.6671203996793533,0.6852033778602648,0.7032863560411762,0.6908259791522862,0.6758203226742461,0.6608146661962059,0.6484125982308293,0.6503302670851028,0.6522479359393761,0.6541656047936495,0.6569254640077761,0.6610328277976679,0.6651401915875598,0.6692475553774516,0.6733347367975988,0.6774093042366556,0.6814838716757122,0.685558439114769,0.6726304218707093,0.6566110255933555,0.6405916293160018,0.6276506204768679,0.6516502608963726,0.6756499013158773,0.6996495417353821,0.7119322482834711,0.6978518536208742,0.6837714589582773,0.6696910642956804,0.664126592538875,0.6658614832727484,0.6675963740066219,0.6693312647404953,0.6639771274989965,0.6564962818648858,0.6490154362307753,0.6415345905966647
sub001-ses04-block2-game2_000::b0005,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,6,26,0,Short,7,0.5824203869297888,0.6011705537654662,0.6199207206011437,0.638670887436821,0.6574210542724984,0.6761712211081758,0.6949213879438533,0.7136715547795306,0.732421721615208,0.7347634813924583,0.7338235597580232,0.732883638123588,0.7319437164891529,0.7310037948547178,0.7300638732202825,0.7291239515858474,0.7281840299514123,0.7303306471394011,0.7340205337386018,0.7377104203378024,0.7414003069370032,0.7450901935362039,0.7487800801354045,0.7524699667346053,0.756159853333806,0.7565202969153336,0.753551297479188,0.7505822980430424,0.747613298606897,0.7446442991707514,0.7416752997346059,0.7387063002984603,0.7357373008623147,0.7356577288913289,0.7413570118506626,0.7470562948099962,0.7527555777693299,0.7584548607286635,0.7641541436879972,0.7698534266473308,0.7755527096066644,0.7784676532454607,0.7674609002815698,0.7564541473176788,0.7454473943537878,0.7344406413898968,0.7234338884260059,0.7124271354621149,0.7014203824982239,0.6904136295343329,0.7034350423819483,0.7017768563726372,0.7001186703633261,0.698460484354015,0.6968022983447039,0.6951441123353927,0.6934859263260816,0.6918277403167705,0.6901695543074594,0.6872336520373399,0.6840422065150588,0.6808507609927775,0.6776593154704963,0.6744678699482152,0.6712764244259339,0.6680849789036528,0.6648935333813716,0.6634508484629408,0.6628825438464351,0.6623142392299293,0.6617459346134236,0.6611776299969179,0.6606093253804122,0.6600410207639065,0.6594727161474008,0.6608121938552319,0.6640594538873998,0.6673067139195678,0.6705539739517357,0.6738012339839037,0.6770484940160716,0.6802957540482395,0.6835430140804074,0.6819419387278345,0.6706441926057796,0.6593464464837246,0.6480487003616697,0.6367509542396148,0.62545320811756,0.6141554619955051,0.6028577158734502,0.5962190169728633,0.6128755541796166,0.6295320913863698,0.6461886285931229,0.6628451657998762,0.6795017030066294,0.6961582402133826,0.7128147774201359,0.7294713146268891
sub001-ses04-block2-game2_000::b0006,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,3,26,0,Short,4,0.36993490306237126,0.38861958586055734,0.40730426865874336,0.42598895145692944,0.44467363425511547,0.46335831705330155,0.4820429998514876,0.5007276826496736,0.5194123654478597,0.5380970482460458,0.5567817310442318,0.5754664138424179,0.594151096640604,0.61283577943879,0.6315204622369761,0.650205145035162,0.6688898278333482,0.6772894724449227,0.6805465979631913,0.68380372348146,0.6870608489997287,0.6903179745179974,0.6935751000362661,0.6968322255545348,0.7000893510728035,0.7033464765910722,0.7066036021093408,0.7098607276276095,0.7131178531458783,0.7163749786641469,0.7196321041824156,0.7228892297006844,0.726146355218953,0.7291687067456094,0.7317215102890413,0.7342743138324732,0.7368271173759052,0.7393799209193371,0.741932724462769,0.7444855280062009,0.7470383315496328,0.7495911350930647,0.7521439386364966,0.7546967421799285,0.7572495457233605,0.7598023492667924,0.7623551528102244,0.7649079563536563,0.7674607598970882,0.7700135634405201,0.8619636279874623,0.8516848972075944,0.8414061664277267,0.8311274356478588,0.820848704867991,0.8105699740881233,0.8002912433082554,0.7900125125283876,0.7797337817485198,0.769455050968652,0.7591763201887841,0.7488975894089164,0.7386188586290485,0.7283401278491808,0.7180613970693129,0.7077826662894451,0.6975039355095772,0.6935046582960329,0.6926451078656504,0.6917855574352677,0.6909260070048852,0.6900664565745025,0.68920690614412,0.6883473557137374,0.6874878052833547,0.6866282548529722,0.6857687044225895,0.684909153992207,0.6840496035618244,0.6831900531314418,0.6823305027010592,0.6814709522706766,0.680611401840294,0.679131339990011,0.676410255299927,0.673689170609843,0.6709680859197591,0.6682470012296752,0.6655259165395911,0.6628048318495072,0.6600837471594233,0.6573626624693394,0.6546415777792554,0.6519204930891714,0.6491994083990875,0.6464783237090035,0.6437572390189196,0.6410361543288357,0.6383150696387516,0.6355939849486677
sub001-ses04-block2-game2_000::b0007,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,5,26,0,Short,6,0.6383957123811465,0.6478487793414868,0.6573018463018271,0.6667549132621674,0.6762079802225077,0.685661047182848,0.6951141141431884,0.7045671811035287,0.714020248063869,0.7234733150242093,0.7315609894455637,0.7341870937109742,0.7368131979763848,0.7394393022417954,0.742065406507206,0.7446915107726165,0.7473176150380272,0.7499437193034377,0.7525698235688484,0.7551959278342589,0.7537576061710387,0.7462226456148723,0.7386876850587059,0.7311527245025394,0.7236177639463729,0.7160828033902065,0.70854784283404,0.7010128822778736,0.6934779217217072,0.6859429611655407,0.6777638781852016,0.6691553802554139,0.6605468823256262,0.6519383843958385,0.6433298864660509,0.6347213885362633,0.6261128906064756,0.6175043926766879,0.6088958947469003,0.6002873968171126,0.6050179098503173,0.6130831756242702,0.621148441398223,0.629213707172176,0.6372789729461288,0.6453442387200816,0.6534095044940346,0.6614747702679874,0.6695400360419403,0.6776053018158932,0.6426652582366075,0.6443777667119092,0.6460902751872108,0.6478027836625125,0.6495152921378142,0.6512278006131159,0.6529403090884176,0.6546528175637193,0.656365326039021,0.6580778345143227,0.6591056036928276,0.657394415684145,0.6556832276754626,0.6539720396667802,0.6522608516580977,0.6505496636494152,0.6488384756407328,0.6471272876320503,0.6454160996233679,0.6437049116146855,0.644650141133206,0.6495799969425311,0.6545098527518562,0.6594397085611814,0.6643695643705065,0.6692994201798317,0.6742292759891568,0.679159131798482,0.6840889876078071,0.6890188434171323,0.6925546387563379,0.6951610604487973,0.6977674821412567,0.7003739038337161,0.7029803255261755,0.7055867472186349,0.7081931689110943,0.7107995906035537,0.7134060122960131,0.7160124339884725,0.7151458454482154,0.7134110043497792,0.7116761632513431,0.709941322152907,0.7082064810544707,0.7064716399560346,0.7047367988575984,0.7030019577591623,0.701267116660726,0.6995322755622899
sub001-ses04-block2-game2_000::b0008,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,7,26,0,Short,8,0.6037554623069228,0.6062578890655002,0.6087603158240775,0.6112627425826549,0.6137651693412323,0.6162675960998096,0.618770022858387,0.6212724496169644,0.6388400677659114,0.6564076859148585,0.6739753040638056,0.6915429222127527,0.7091105403616997,0.7266781585106468,0.7442457766595939,0.7385730732967457,0.7329003699338976,0.7272276665710494,0.7215549632082012,0.715882259845353,0.710209556482505,0.7045368531196567,0.7034395652382592,0.7023422773568616,0.7012449894754641,0.7001477015940665,0.699050413712669,0.6979531258312713,0.6968558379498738,0.7008081061753187,0.7047603744007637,0.7087126426262087,0.7126649108516536,0.7166171790770985,0.7205694473025436,0.7245217155279885,0.7225701846790902,0.7206186538301919,0.7186671229812935,0.7167155921323953,0.714764061283497,0.7128125304345987,0.7108609995857004,0.7196800637188754,0.7284991278520503,0.7373181919852253,0.7461372561184003,0.7549563202515753,0.7637753843847503,0.7725944485179254,0.6361728771386099,0.6516381179059713,0.6671033586733327,0.682568599440694,0.6980338402080554,0.7134990809754167,0.7289643217427781,0.7444295625101395,0.7355553949076042,0.7266812273050691,0.7178070597025339,0.7089328920999987,0.7000587244974634,0.6911845568949283,0.6823103892923931,0.6863968959855691,0.6904834026787451,0.6945699093719211,0.698656416065097,0.702742922758273,0.706829429451449,0.710915936144625,0.7066841039459617,0.7024522717472985,0.6982204395486352,0.6939886073499719,0.6897567751513087,0.6855249429526454,0.6812931107539821,0.6807638272428898,0.6802345437317973,0.6797052602207049,0.6791759767096124,0.67864669319852,0.6781174096874275,0.6775881261763351,0.6785905382486443,0.6795929503209535,0.6805953623932627,0.6815977744655718,0.682600186537881,0.6836025986101901,0.6846050106824993,0.6770424812806201,0.6694799518787408,0.6619174224768615,0.6543548930749822,0.6467923636731028,0.6392298342712235,0.6316673048693442
sub001-ses04-block2-game2_000::b0009,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,9,26,0,Short,10,0.620211247581632,0.6026733286527023,0.5851354097237725,0.5675974907948429,0.5500595718659131,0.5325216529369834,0.5479455119368619,0.5897387932797871,0.6315320746227122,0.6733253559656374,0.7151186373085625,0.7512403408058503,0.7419894215380402,0.73273850227023,0.7234875830024198,0.7142366637346096,0.7049857444667993,0.732109067468174,0.7774195116041409,0.822729955740108,0.868040399876075,0.913350844012042,0.9330380769532497,0.863044070712799,0.7930500644723483,0.7230560582318976,0.6530620519914472,0.5830680457509965,0.6376369527211713,0.7277952634658111,0.8179535742104507,0.9081118849550907,0.9982701956997305,1.039052329271309,0.9810821084967641,0.9231118877222197,0.8651416669476749,0.8071714461731301,0.7492012253985854,0.7793219015547354,0.820453939827222,0.8615859780997087,0.9027180163721955,0.9438500546446822,0.9554465097218422,0.9301234858048439,0.9048004618878457,0.8794774379708474,0.8541544140538492,0.8288313901368509,0.7116174675363862,0.7297998230054531,0.7479821784745199,0.7661645339435867,0.7843468894126535,0.8025292448817203,0.7920324469927642,0.7585923264173896,0.725152205842015,0.6917120852666405,0.6582719646912659,0.6292059304765062,0.6351325871466653,0.6410592438168243,0.6469859004869835,0.6529125571571425,0.6588392138273015,0.6428243353998808,0.6158386894236704,0.5888530434474599,0.5618673974712494,0.5348817514950388,0.5236026919983536,0.5672966851800071,0.6109906783616605,0.6546846715433139,0.6983786647249671,0.7420726579066206,0.7103698419499532,0.6571250805251937,0.6038803191004344,0.5506355576756748,0.4973907962509153,0.46798959623179665,0.48627551902395977,0.5045614418161228,0.522847364608286,0.5411332874004491,0.5594192101926122,0.5500294282396693,0.5371801831935881,0.524330938147507,0.5114816931014258,0.49863244805534457,0.49532500525230244,0.5039448152530591,0.5125646252538159,0.5211844352545725,0.5298042452553292,0.5384240552560858
sub001-ses04-block2-game2_000::b0010,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,7,26,0,Short,8,0.8486004989061198,0.8457139160789323,0.8428273332517449,0.8399407504245574,0.83705416759737,0.8341675847701825,0.831281001942995,0.8283944191158076,0.8466708182776765,0.8649472174395455,0.8832236166014145,0.9015000157632834,0.9197764149251525,0.9380528140870215,0.9563292132488904,0.9445848952911983,0.932840577333506,0.9210962593758137,0.9093519414181216,0.8976076234604293,0.8858633055027372,0.8741189875450449,0.8639115983771541,0.8537042092092634,0.8434968200413726,0.8332894308734817,0.8230820417055911,0.8128746525377002,0.8026672633698094,0.8100595889375847,0.8174519145053599,0.8248442400731352,0.8322365656409105,0.8396288912086858,0.847021216776461,0.8544135423442363,0.8682157829315142,0.8820180235187922,0.8958202641060701,0.909622504693348,0.9234247452806259,0.9372269858679039,0.9510292264551818,0.9246376173112056,0.8982460081672297,0.8718543990232535,0.8454627898792774,0.8190711807353012,0.7926795715913251,0.7662879624473489,0.4669130614701103,0.47946479829221594,0.4920165351143216,0.5045682719364272,0.5171200087585328,0.5296717455806385,0.5422234824027441,0.5547752192248497,0.5046300861953332,0.4544849531658167,0.40433982013630027,0.35419468710678376,0.3040495540772672,0.2539044210477508,0.20375928801823423,0.23899432651082395,0.27422936500341377,0.30946440349600357,0.34469944198859326,0.37993448048118306,0.4151695189737728,0.4504045574663626,0.4579054887652046,0.4654064200640466,0.47290735136288864,0.48040828266173063,0.4879092139605726,0.4954101452594146,0.5029110765582566,0.5099870288644996,0.5170629811707426,0.5241389334769856,0.5312148857832285,0.5382908380894715,0.5453667903957146,0.5524427427019575,0.5396316035131815,0.5268204643244057,0.5140093251356297,0.5011981859468538,0.4883870467580779,0.47557590756930196,0.46276476838052605,0.48179704986961314,0.5008293313587001,0.5198616128477872,0.5388938943368744,0.5579261758259615,0.5769584573150486,0.5959907388041357
