event_id,file,subject,game,bout_length,cross2,is_long,bout_class,n_changes,change_rate,n_unique_cur_actions,dominant_action_fraction,final_cur_action,modal_cur_action,mean_imag_nonnoop_fraction,commit_action,commit_search_final_action,commit_search_modal_action,commit_matches_final_cur_action,commit_matches_modal_cur_action,commit_matches_commit_search_final,commit_matches_commit_search_modal
sub001-ses04-block2-game2_000::b0029,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,4,26,0,Short,3,1.0,4,0.25,3,2,0.8581668331668332,1,2,1,0,0,0,1
sub001-ses04-block2-game2_000::b0030,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,3,26,0,Short,2,1.0,2,0.6666666666666666,4,4,0.789835474419653,1,1,1,0,0,1,1
sub001-ses04-block2-game2_000::b0031,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,4,26,0,Short,2,0.6666666666666666,3,0.5,0,3,0.8557763105242097,1,5,5,0,0,0,0
sub001-ses04-block2-game2_000::b0032,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,3,26,0,Short,1,0.5,2,0.6666666666666666,1,1,0.8286111111111111,1,4,5,1,1,0,0
sub001-ses04-block2-game2_000::b0033,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,3,26,0,Short,2,1.0,3,0.3333333333333333,4,0,0.7964324618736383,1,3,1,0,0,0,1
sub001-ses04-block2-game2_000::b0034,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,3,26,0,Short,1,0.5,2,0.6666666666666666,3,1,0.7972999222999224,1,4,1,0,1,0,1
sub001-ses04-block2-game2_000::b0035,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,2,26,0,Short,1,1.0,2,0.5,1,1,0.8619028502609394,1,2,0,1,1,0,0
sub001-ses04-block2-game2_000::b0036,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,3,26,0,Short,2,1.0,3,0.3333333333333333,0,0,0.8018077601410935,1,1,3,0,0,1,0
sub001-ses04-block2-game2_000::b0037,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,3,26,0,Short,2,1.0,2,0.6666666666666666,2,2,0.840841997176229,1,1,1,0,0,1,1
sub001-ses04-block2-game2_000::b0038,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,4,26,0,Short,1,0.3333333333333333,2,0.75,1,3,0.8330203619909502,1,5,1,1,0,0,1
sub001-ses04-block2-game2_000::b0039,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,4,26,0,Short,2,0.6666666666666666,3,0.5,1,4,0.8839713857571001,1,5,5,1,0,0,0
sub001-ses04-block2-game2_000::b0040,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,4,26,0,Short,2,0.6666666666666666,3,0.5,1,5,0.8675915649278578,4,1,1,0,0,0,0
sub001-ses04-block2-game2_000::b0041,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,4,26,0,Short,3,1.0,3,0.5,0,0,0.8796939828563004,2,3,1,0,0,0,0
sub001-ses04-block2-game2_000::b0042,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,7,26,0,Short,6,1.0,5,0.2857142857142857,2,1,0.8731190319793686,2,0,2,1,0,0,1
sub001-ses04-block2-game2_000::b0043,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,5,26,0,Short,4,1.0,4,0.4,3,0,0.8344012066365007,2,1,4,0,0,0,0
sub001-ses04-block2-game2_000::b0044,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,4,26,0,Short,3,1.0,3,0.5,3,3,0.8848039215686275,2,5,1,0,0,0,0
sub001-ses04-block2-game2_000::b0045,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,22,26,0,Short,18,0.8571428571428571,6,0.2727272727272727,4,2,0.8527831567830227,1,5,1,0,0,0,1
sub001-ses04-block2-game2_000::b0046,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,23,26,0,Short,17,0.7727272727272727,5,0.30434782608695654,3,1,0.8420851712648829,3,5,5,1,0,0,0
sub001-ses04-block2-game2_000::b0047,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,10,26,0,Short,8,0.8888888888888888,6,0.3,0,4,0.8487699828620933,2,0,3,0,0,0,0
sub001-ses04-block2-game2_000::b0048,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,17,26,0,Short,11,0.6875,5,0.4117647058823529,1,1,0.8315281246774565,2,1,1,0,0,0,0
sub001-ses04-block2-game2_000::b0049,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,14,26,0,Short,10,0.7692307692307693,5,0.35714285714285715,1,3,0.8583165014895368,2,0,0,0,0,0,0
sub001-ses04-block2-game2_000::b0050,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,12,26,0,Short,9,0.8181818181818182,6,0.3333333333333333,2,1,0.8573221232937621,1,3,5,0,1,0,0
sub001-ses04-block2-game2_000::b0051,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,37,26,1,Long,29,0.8055555555555556,6,0.2702702702702703,5,1,0.8251930986114877,1,1,5,0,1,1,0
sub001-ses04-block2-game2_000::b0052,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,7,26,0,Short,6,1.0,3,0.42857142857142855,2,2,0.8135457962754283,3,4,5,0,0,0,0
sub001-ses04-block2-game2_000::b0053,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,12,26,0,Short,10,0.9090909090909091,6,0.25,1,1,0.8807939029510048,3,4,5,0,0,0,0
sub001-ses04-block2-game2_000::b0054,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,41,26,1,Long,34,0.85,6,0.21951219512195122,2,4,0.8480906201435024,3,4,5,0,0,0,0
sub001-ses04-block2-game2_000::b0055,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,5,26,0,Short,3,0.75,3,0.4,1,1,0.8488397301566325,1,4,4,1,1,0,0
sub001-ses04-block2-game2_000::b0056,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,4,26,0,Short,3,1.0,4,0.25,0,0,0.8712236073674753,3,1,1,0,0,0,0
sub001-ses04-block2-game2_000::b0057,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,13,26,0,Short,7,0.5833333333333334,5,0.46153846153846156,0,4,0.8448741650110494,2,0,0,0,0,0,0
sub001-ses04-block2-game2_000::b0058,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,8,26,0,Short,6,0.8571428571428571,5,0.375,3,1,0.8378875012848186,2,1,4,0,0,0,0
sub001-ses04-block2-game2_000::b0059,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,3,26,0,Short,2,1.0,3,0.3333333333333333,4,1,0.8447222222222223,1,3,3,0,1,0,0
sub001-ses04-block2-game2_000::b0060,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,4,26,0,Short,2,0.6666666666666666,3,0.5,0,1,0.8612774102711791,1,3,0,0,1,0,0
sub001-ses04-block2-game2_000::b0061,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,6,26,0,Short,4,0.8,3,0.3333333333333333,5,1,0.8344557823129252,3,1,1,0,0,0,0
sub001-ses04-block2-game2_000::b0062,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,8,26,0,Short,6,0.8571428571428571,6,0.25,4,1,0.8448425402769804,2,5,4,0,0,0,0
sub001-ses04-block2-game2_000::b0063,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,1,26,0,Short,0,0.0,1,1.0,0,0,0.7021276595744681,3,3,5,0,0,1,0
sub001-ses04-block2-game2_000::b0064,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,7,26,0,Short,6,1.0,4,0.42857142857142855,5,5,0.872351111354113,2,5,1,0,0,0,0
sub001-ses04-block2-game2_000::b0065,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,3,26,0,Short,2,1.0,3,0.3333333333333333,4,1,0.8242835595776773,1,2,5,0,1,0,0
sub001-ses04-block2-game2_000::b0066,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,3,26,0,Short,2,1.0,2,0.6666666666666666,1,1,0.8775824853530682,1,3,1,1,1,0,1
sub001-ses04-block2-game2_000::b0067,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,2,26,0,Short,0,0.0,1,1.0,0,0,0.853154305200341,1,3,1,0,0,0,1
sub001-ses04-block2-game2_000::b0068,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,1,26,0,Short,0,0.0,1,1.0,4,4,0.875,3,1,1,0,0,0,0
sub001-ses04-block2-game2_000::b0069,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,17,26,0,Short,15,0.9375,6,0.29411764705882354,5,5,0.8407679568969566,3,0,2,0,0,0,0
sub001-ses04-block2-game2_000::b0070,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,8,26,0,Short,7,1.0,5,0.375,0,0,0.8426510373653007,1,2,3,0,0,0,0
sub001-ses04-block2-game2_000::b0071,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,1,26,0,Short,0,0.0,1,1.0,2,2,0.8269230769230769,3,5,5,0,0,0,0
sub001-ses04-block2-game2_000::b0072,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,4,26,0,Short,3,1.0,3,0.5,4,4,0.8508490815382582,1,3,1,0,0,0,1
sub001-ses04-block2-game2_000::b0073,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,8,26,0,Short,6,0.8571428571428571,4,0.375,0,5,0.8488762095747391,2,5,4,0,0,0,0
sub001-ses04-block2-game2_000::b0074,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,1,26,0,Short,0,0.0,1,1.0,5,5,0.9090909090909091,1,1,1,0,0,1,1
sub001-ses04-block2-game2_000::b0075,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,2,26,0,Short,1,1.0,2,0.5,3,0,0.7546933667083855,3,2,1,1,0,0,0
sub001-ses04-block2-game2_000::b0076,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,5,26,0,Short,3,0.75,4,0.4,2,1,0.8701596527939239,1,1,3,0,1,1,0
sub001-ses04-block2-game2_000::b0077,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,27,26,1,Long,23,0.8846153846153846,6,0.2222222222222222,1,2,0.8601445486656202,3,5,0,0,0,0,0
sub001-ses04-block2-game2_000::b0078,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,32,26,1,Long,28,0.9032258064516129,6,0.25,5,1,0.8424977939268318,2,0,3,0,0,0,0
sub001-ses04-block2-game2_000::b0079,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,6,26,0,Short,1,0.2,2,0.5,1,1,0.8342931578225695,2,3,4,0,0,0,0
sub001-ses04-block2-game2_000::b0080,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,20,26,0,Short,15,0.7894736842105263,6,0.3,1,1,0.8565707898165444,3,5,2,0,0,0,0
sub001-ses04-block2-game2_000::b0081,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,14,26,0,Short,12,0.9230769230769231,6,0.42857142857142855,5,5,0.8485457969737453,3,4,4,0,0,0,0
sub001-ses04-block2-game2_000::b0082,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,19,26,0,Short,13,0.7222222222222222,6,0.2631578947368421,3,1,0.8366025312076216,1,4,5,0,1,0,0
sub001-ses04-block2-game2_000::b0083,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,3,26,0,Short,2,1.0,3,0.3333333333333333,1,0,0.8416586034510564,1,0,5,1,0,0,0
