event_id,file,subject,session,game,bout_length,cross2,is_long,bout_class,commit_action,pre_pos,pre_cur_action,pre_imag_cur_action_final,pre_imag_cur_action_modal,pre_imag_nonnoop_fraction,entropy_actor_pre,margin_actor_pre,q_gap_pre,rollout_spread_pre,entropy_actor_prev_s2_pre,margin_actor_prev_s2_pre,q_gap_prev_s2_pre,onset_pos,onset_cur_action,onset_imag_cur_action_final,onset_imag_cur_action_modal,onset_imag_nonnoop_fraction,entropy_actor_onset,margin_actor_onset,q_gap_onset,rollout_spread_onset,entropy_actor_prev_s2_onset,margin_actor_prev_s2_onset,q_gap_prev_s2_onset,mid_pos,mid_cur_action,mid_imag_cur_action_final,mid_imag_cur_action_modal,mid_imag_nonnoop_fraction,entropy_actor_mid,margin_actor_mid,q_gap_mid,rollout_spread_mid,entropy_actor_prev_s2_mid,margin_actor_prev_s2_mid,q_gap_prev_s2_mid,final_noop_pos,final_noop_cur_action,final_noop_imag_cur_action_final,final_noop_imag_cur_action_modal,final_noop_imag_nonnoop_fraction,entropy_actor_final_noop,margin_actor_final_noop,q_gap_final_noop,rollout_spread_final_noop,entropy_actor_prev_s2_final_noop,margin_actor_prev_s2_final_noop,q_gap_prev_s2_final_noop,commit_pos,commit_cur_action,commit_imag_cur_action_final,commit_imag_cur_action_modal,commit_imag_nonnoop_fraction,entropy_actor_commit,margin_actor_commit,q_gap_commit,rollout_spread_commit,entropy_actor_prev_s2_commit,margin_actor_prev_s2_commit,q_gap_prev_s2_commit,n_cur_action_changes,cur_action_change_rate,n_unique_cur_actions,dominant_action_fraction,final_cur_action,modal_cur_action,mean_imag_nonnoop_fraction,commit_search_final_action,commit_search_modal_action,commit_matches_final_cur_action,commit_matches_modal_cur_action,commit_matches_commit_search_final,commit_matches_commit_search_modal,entropy_actor_noop_internal_delta,entropy_actor_commit_delta,entropy_actor_total_delta,margin_actor_noop_internal_delta,margin_actor_commit_delta,margin_actor_total_delta,q_gap_noop_internal_delta,q_gap_commit_delta,q_gap_total_delta,rollout_spread_noop_internal_delta,rollout_spread_commit_delta,rollout_spread_total_delta,entropy_actor_prev_s2_noop_internal_delta,entropy_actor_prev_s2_commit_delta,entropy_actor_prev_s2_total_delta,margin_actor_prev_s2_noop_internal_delta,margin_actor_prev_s2_commit_delta,margin_actor_prev_s2_total_delta,q_gap_prev_s2_noop_internal_delta,q_gap_prev_s2_commit_delta,q_gap_prev_s2_total_delta
sub001-ses04-block2-game2_000::b0001,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,9,26,0,Short,3,87,3,2,5,0.8703703703703703,0.4890990945628729,0.8029728824789345,0.0,0.0,1.6618257206987972,0.1171836614428157,0.013149499893188477,88,0,4,1,0.9444444444444444,0.4770488994336012,0.7714771486297393,0.0,0.0,1.744781472414404,0.04108149103672315,0.035883426666259766,92,0,5,5,0.88,0.5772357609922667,0.7875971352775087,5.626678466796875e-05,0.22321677207946777,1.7672445679254238,0.021436103874192813,0.00458979606628418,96,0,4,5,0.86,0.580501662048819,0.8058626865336728,0.03429460525512695,0.10573434829711914,1.7788280356610129,0.032590555536925886,0.03291177749633789,97,3,4,3,0.8490566037735849,0.7515816878904101,0.7175728804348042,0.047670602798461914,0.11115479469299316,1.7494010967915625,0.06575720862756146,0.01052093505859375,6,0.75,4,0.3333333333333333,4,1,0.8759690514382392,4,3,0,0,0,1,0.10345276261521785,0.1710800258415911,0.2624825933275372,0.034385537903933505,-0.0882898060988686,-0.08540000204413034,0.03429460525512695,0.013375997543334961,0.047670602798461914,0.10573434829711914,0.0054204463958740234,0.11115479469299316,0.03404656324660893,-0.02942693886945036,0.08757537609276533,-0.008490935499797264,0.03316665309063557,-0.05142645281525424,-0.002971649169921875,-0.02239084243774414,-0.0026285648345947266
sub001-ses04-block2-game2_000::b0002,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,16,26,0,Short,1,110,3,5,5,0.88,0.46540983258404744,0.7998852534296849,2.5657060146331787,0.0,1.6409554405448596,0.14909964828505376,0.0028171539306640625,111,0,5,2,0.9433962264150944,0.39742211260837446,0.8364325955938953,2.714529037475586,0.06679439544677734,1.7421256698854894,0.06346665303625831,0.014817953109741211,118,0,3,1,0.9795918367346939,0.6689377049775223,0.754864227060363,0.0,0.0,1.7189897463828887,0.09797154497301047,0.01513981819152832,126,0,3,3,0.92,0.8080327908470293,0.6875417440126264,3.2245547771453857,0.04044747352600098,1.7429175383648527,0.050836554559617775,0.41130661964416504,127,1,5,1,0.9090909090909091,0.6051712529842546,0.7683845970353749,0.015108823776245117,0.12865304946899414,1.6927626265016087,0.082186717492222,0.05234169960021973,14,0.9333333333333333,4,0.375,3,5,0.8966135050024916,5,1,0,0,0,1,0.4106106782386548,-0.20286153786277472,0.13976142040020711,-0.1488908515812689,0.08084285302274852,-0.03150065639430999,0.5100257396697998,-3.2094459533691406,-2.5505971908569336,-0.026346921920776367,0.08820557594299316,0.12865304946899414,0.0007918684793633002,-0.050154911863244056,0.05180718595674905,-0.012630098476640539,0.03135016293260423,-0.06691293079283175,0.39648866653442383,-0.3589649200439453,0.049524545669555664
sub001-ses04-block2-game2_000::b0003,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,20,26,0,Short,2,132,1,1,1,0.7959183673469388,0.9949123667360549,0.319526658091279,3.279798746109009,0.08599996566772461,1.705622304470227,0.031014801050448543,0.0014429092407226562,133,0,4,1,0.8627450980392157,1.0568568856226188,0.33229408239868824,0.03577613830566406,0.0,1.7744896003866142,0.045577613848440085,0.04906821250915527,142,0,5,1,0.8627450980392157,0.8105931873350366,0.6675725885413029,0.02454400062561035,0.051293134689331055,1.7617481301667144,0.005568350416573914,0.4850342273712158,152,0,3,0,0.7755102040816326,0.5856020871788128,0.7817774277244973,3.2821037769317627,0.0,1.7183102792182587,0.038121285680857236,0.6094791889190674,153,2,2,1,0.8260869565217391,0.599947987665485,0.7853300607578575,0.3088374137878418,0.5282382965087891,1.7388721202573776,0.08484022823212056,0.26166391372680664,15,0.7894736842105263,5,0.3,3,1,0.8447081917965213,2,1,0,0,1,0,-0.471254798443806,0.01434590048667217,-0.3949643790705699,0.4494833453258091,0.0035526330333601752,0.4658034026665785,3.2463276386260986,-2.973266363143921,-2.970961332321167,0.0,0.5282382965087891,0.44223833084106445,-0.056179321168355445,0.020561841039118844,0.03324981578715058,-0.0074563281675828486,0.046718942551263326,0.05382542718167202,0.5604109764099121,-0.34781527519226074,0.260221004486084
sub001-ses04-block2-game2_000::b0004,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,13,26,0,Short,2,163,2,5,5,0.8863636363636364,0.5992053859467714,0.6625362786976086,3.5573832988739014,0.0,1.7471516472128261,0.07377026380901472,0.0025072097778320312,164,0,1,2,0.8333333333333334,0.7702928145916756,0.5057466732238873,3.597649097442627,0.07948637008666992,1.6850807374634234,0.007085561332528967,0.08922648429870605,170,0,2,5,0.9148936170212766,0.8008857879005837,0.6553457087039716,0.0,0.0,1.769892238473651,0.02493293746675032,0.035294532775878906,176,0,3,3,0.8043478260869565,0.7713441129177702,0.6697316241406199,3.5320615768432617,0.00876617431640625,1.7869989045769517,0.00566045963406675,0.021419286727905273,177,2,4,1,0.8936170212765957,0.7954925607660568,0.6415345905966647,0.2287909984588623,0.6684975624084473,1.7774794324972658,0.035984585183370915,0.18413519859313965,11,0.9166666666666666,5,0.38461538461538464,3,4,0.8554030498704234,4,1,0,0,0,0,0.0010512983260945186,0.024148447848286625,0.19628717481928537,0.1639849509167326,-0.028197033543955197,-0.021001688100943827,-0.06558752059936523,-3.3032705783843994,-3.328592300415039,-0.07072019577026367,0.659731388092041,0.6684975624084473,0.1019181671135283,-0.009519472079685842,0.03032778528443969,-0.0014251016984622167,0.030324125549304165,-0.037785678625643804,-0.06780719757080078,0.16271591186523438,0.18162798881530762
sub001-ses04-block2-game2_000::b0005,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,6,26,0,Short,3,190,2,4,1,0.8444444444444444,0.8538931525914556,0.4302147100725706,0.0,0.0,1.7558364097630121,0.03879239320856234,0.07267522811889648,191,0,2,5,0.8478260869565217,0.5824203869297888,0.7034350423819483,0.0979464054107666,0.2952899932861328,1.7580416103094463,0.02338432771801563,0.042510986328125,194,0,5,3,0.9565217391304348,0.7580047966334064,0.6591885638391479,3.947080612182617,0.16369152069091797,1.7559635641221196,0.029987656259304774,0.16892337799072266,196,0,5,5,0.8979591836734694,0.7803021120727759,0.5934429274384044,4.477444171905518,0.5431609153747559,1.746451701151738,0.06640530416417928,0.02255392074584961,197,3,2,1,0.8846153846153846,0.6904136295343329,0.7294713146268891,4.212465286254883,0.7162034511566162,1.7472659665147283,0.11274330647733191,0.15137195587158203,5,1.0,4,0.3333333333333333,5,3,0.8940168008821372,2,1,0,1,0,0,0.19788172514298707,-0.08988848253844295,-0.16347952305712266,-0.10999211494354388,0.13602838718848465,0.29925660455431846,4.379497766494751,-0.26497888565063477,4.212465286254883,0.24787092208862305,0.17304253578186035,0.7162034511566162,-0.0115899091577083,0.0008142653629903407,-0.008570443248283821,0.04302097644616365,0.04633800231315263,0.07395091326876957,-0.01995706558227539,0.12881803512573242,0.07869672775268555
sub001-ses04-block2-game2_000::b0006,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,3,26,0,Short,2,210,3,4,1,0.8431372549019608,0.5631189222312035,0.7353721316109904,0.005943775177001953,0.10565471649169922,1.7641670097796203,0.03479069234712412,0.04366898536682129,211,0,4,1,0.9183673469387755,0.36993490306237126,0.8619636279874623,3.7050609588623047,0.0,1.7743464291261064,0.03977415729905495,0.10536026954650879,212,0,1,1,0.8723404255319149,0.6751180554327435,0.694077691916288,0.0,0.0,1.7552273877150437,0.0021548741942285232,0.014204740524291992,213,0,3,2,0.8775510204081632,0.7283177722311321,0.6800383682200389,3.74916410446167,0.0,1.7714858063025536,0.0006295330582865022,0.013073205947875977,214,2,4,0,0.782608695652174,0.7700135634405201,0.6355939849486677,3.8572704792022705,0.3723158836364746,1.7499419895928217,0.0007968957891688611,0.011855840682983398,2,1.0,3,0.3333333333333333,3,1,0.8894195976262845,4,0,0,0,0,0,0.3583828691687609,0.041695791209387933,0.20689464120931655,-0.18192525976742335,-0.044444383271371235,-0.09977814666232265,0.044103145599365234,0.10810637474060059,3.8513267040252686,0.0,0.3723158836364746,0.2666611671447754,-0.0028606228235528164,-0.021543816709731933,-0.01422502018679861,-0.03914462424076845,0.00016736273088235887,-0.03399379655795526,-0.09228706359863281,-0.0012173652648925781,-0.03181314468383789
sub001-ses04-block2-game2_000::b0007,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,5,26,0,Short,2,230,2,1,5,0.8666666666666667,0.6183125856718275,0.6121924932479719,3.6179046630859375,0.0,1.7698764984733408,0.020334067792878302,0.03570890426635742,231,0,4,4,0.9302325581395349,0.6383957123811465,0.6426652582366075,3.9479081630706787,0.7115049362182617,1.7765996097784098,0.06431122588220592,0.0923466682434082,233,0,3,1,0.9245283018867925,0.7567715903935053,0.642678198809476,3.9727180004119873,0.08029818534851074,1.7427088820546766,0.10309741915429618,0.43064212799072266,235,0,1,1,0.9791666666666666,0.598565697231155,0.7165337183269643,4.367809295654297,0.5004730224609375,1.7535208090280112,0.03932013979665497,0.030373573303222656,236,2,0,2,0.9038461538461539,0.6776053018158932,0.6995322755622899,3.6180057525634766,0.0,1.7533293201586753,0.06867310494524248,0.3045997619628906,4,1.0,5,0.2,1,0,0.8819815837699713,0,2,0,0,0,1,-0.039830015149991405,0.07903960458473813,0.05929271614406573,0.07386846009035686,-0.017001442764674413,0.08733978231431805,0.41990113258361816,-0.7498035430908203,0.0001010894775390625,-0.21103191375732422,-0.5004730224609375,0.0,-0.023078800750398587,-0.000191488869335954,-0.016547178314665567,-0.02499108608555095,0.029352965148587512,0.04833903715236418,-0.06197309494018555,0.27422618865966797,0.2688908576965332
sub001-ses04-block2-game2_000::b0008,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,7,26,0,Short,3,238,2,5,1,0.8888888888888888,0.512879928848549,0.722939809345257,0.0,0.0,1.666708948475737,0.021181769710359566,0.10474729537963867,239,0,1,1,0.9148936170212766,0.6037554623069228,0.6361728771386099,3.602444887161255,0.052790164947509766,1.6915531672055886,0.05259863848628668,0.37552356719970703,242,0,0,5,0.8604651162790697,0.7045368531196567,0.710915936144625,0.0,0.0,1.7765526891288348,0.014446579070651194,0.3349800109863281,245,0,4,3,0.875,0.7108609995857004,0.6846050106824993,4.2921857833862305,0.855536937713623,1.7360633003371109,0.07556446607910497,0.024209022521972656,246,3,1,5,0.9375,0.7725944485179254,0.6316673048693442,4.506369590759277,1.0897216796875,1.787966745741699,0.023111948281492795,0.4758615493774414,2,0.3333333333333333,3,0.42857142857142855,4,1,0.8684716916476376,1,5,0,0,0,0,0.10710553727877759,0.06173344893222499,0.2597145196693763,0.04843213354388942,-0.052937705813155156,-0.09127250447591284,0.6897408962249756,0.21418380737304688,4.506369590759277,0.8027467727661133,0.23418474197387695,1.0897216796875,0.0445101331315223,0.05190344540458813,0.12125779726596209,0.02296582759281829,-0.052452517797612175,0.0019301785711332287,-0.3513145446777344,0.45165252685546875,0.37111425399780273
sub001-ses04-block2-game2_000::b0009,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,9,26,0,Short,1,249,3,2,2,0.9347826086956522,0.535291357718576,0.7609929806064923,0.030942916870117188,0.528566837310791,1.778397922644383,0.00426781989162861,0.18057823181152344,250,0,5,1,0.8461538461538461,0.620211247581632,0.7116174675363862,0.2778940200805664,0.2913827896118164,1.762788298684434,0.034883919869156566,0.5409822463989258,254,0,5,0,0.76,0.9485923005622386,0.513892915735764,0.31015515327453613,0.16867685317993164,1.7446722232671237,0.11440572316721584,0.41292428970336914,258,0,3,0,0.6666666666666666,0.9667011870182858,0.49149397858529953,3.8586483001708984,0.0,1.7409594239140262,0.035118242923415754,0.17767620086669922,259,1,5,5,0.8409090909090909,0.8288313901368509,0.5384240552560858,0.0,0.0,1.7595721367814723,0.009431998563145583,0.09406471252441406,8,1.0,6,0.2222222222222222,3,1,0.8256807112734165,5,5,0,1,0,0,0.34648993943665374,-0.13786979688143486,0.29354003241827487,-0.2201234889510867,0.0469300766707863,-0.2225689253504065,3.580754280090332,-3.8586483001708984,-0.030942916870117188,-0.2913827896118164,0.0,-0.528566837310791,-0.021828874770407847,0.018612712867446035,-0.018825785862910616,0.00023432305425918898,-0.025686244360270172,0.005164178671516972,-0.36330604553222656,-0.08361148834228516,-0.08651351928710938
sub001-ses04-block2-game2_000::b0010,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,7,26,0,Short,1,263,1,0,1,0.9090909090909091,0.8467920100440063,0.35536800698303495,0.0,0.0,1.7143859029190014,0.1511572107226272,0.1070108413696289,264,0,3,0,0.7894736842105263,0.8486004989061198,0.4669130614701103,0.0023412704467773438,0.26450157165527344,1.6588544243285852,0.09398337068278195,0.07911014556884766,267,0,2,5,0.8297872340425532,0.8741189875450449,0.4504045574663626,4.468982696533203,0.0,1.757730194254882,0.019696120849207965,0.07042264938354492,270,0,0,5,0.9230769230769231,0.9510292264551818,0.46276476838052605,0.0,0.0,1.7297341764290848,0.09249636410491271,0.21153640747070312,271,1,4,1,0.9387755102040817,0.7662879624473489,0.5959907388041357,4.0367655754089355,0.0,1.7430572087865701,0.057060081033015936,0.1542963981628418,6,1.0,6,0.2857142857142857,0,1,0.8478226640052177,4,1,0,1,0,1,0.10242872754906207,-0.18474126400783297,-0.08050404759665741,-0.004148293089584254,0.13322597042360962,0.24062273182110072,-0.0023412704467773438,4.0367655754089355,4.0367655754089355,-0.26450157165527344,0.0,0.0,0.07087975210049957,0.013323032357485332,0.02867130586756872,-0.0014870065778692376,-0.03543628307189678,-0.09409712968961126,0.13242626190185547,-0.05724000930786133,0.04728555679321289
