event_id,file,subject,game,bout_length,cross2,is_long,bout_class,entropy_actor_pos0,entropy_actor_pos1,entropy_actor_pos2,entropy_actor_pos3,entropy_actor_pos4,margin_actor_pos0,margin_actor_pos1,margin_actor_pos2,margin_actor_pos3,margin_actor_pos4,q_gap_pos0,q_gap_pos1,q_gap_pos2,q_gap_pos3,q_gap_pos4,rollout_spread_pos0,rollout_spread_pos1,rollout_spread_pos2,rollout_spread_pos3,rollout_spread_pos4
sub001-ses04-block2-game2_000::b0001,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,9,26,0,Short,0.4770488994336012,0.5601483316582138,0.5772357609922667,0.5661177036000078,0.580501662048819,0.7714771486297393,0.8061992905656112,0.7875971352775087,0.7892931009655615,0.8058626865336728,0.0,2.598086357116699,5.626678466796875e-05,0.0,0.03429460525512695,0.0,0.12799596786499023,0.22321677207946777,0.0,0.10573434829711914
sub001-ses04-block2-game2_000::b0002,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,16,26,0,Short,0.39742211260837446,0.751813842075622,0.6689377049775223,0.558366462749928,0.8080327908470293,0.8364325955938953,0.7032642505488926,0.754864227060363,0.7975759641769009,0.6875417440126264,2.714529037475586,0.0665278434753418,0.0,0.0,3.2245547771453857,0.06679439544677734,0.04275965690612793,0.0,0.0,0.04044747352600098
sub001-ses04-block2-game2_000::b0003,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,20,26,0,Short,1.0568568856226188,0.716752979984216,0.8105931873350366,0.7397007494104901,0.5856020871788128,0.33229408239868824,0.716058660747508,0.6675725885413029,0.692482815126384,0.7817774277244973,0.03577613830566406,0.0,0.02454400062561035,0.0,3.2821037769317627,0.0,0.0,0.051293134689331055,0.0,0.0
sub001-ses04-block2-game2_000::b0004,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,13,26,0,Short,0.7702928145916756,0.8081127213659269,0.8008857879005837,0.7998611912009348,0.7713441129177702,0.5057466732238873,0.6365184366039648,0.6553457087039716,0.6258044942907521,0.6697316241406199,3.597649097442627,0.0,0.0,0.0,3.5320615768432617,0.07948637008666992,0.0,0.0,0.0,0.00876617431640625
sub001-ses04-block2-game2_000::b0005,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,6,26,0,Short,0.5824203869297888,0.7355467494211543,0.7580047966334064,0.7337579679048843,0.7803021120727759,0.7034350423819483,0.6898931899725742,0.6591885638391479,0.6857078541018528,0.5934429274384044,0.0979464054107666,3.929765224456787,3.947080612182617,0.292849063873291,4.477444171905518,0.2952899932861328,0.23279380798339844,0.16369152069091797,0.07461166381835938,0.5431609153747559
sub001-ses04-block2-game2_000::b0006,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,3,26,0,Short,0.36993490306237126,0.6751180554327435,0.6751180554327435,0.6751180554327435,0.7283177722311321,0.8619636279874623,0.694077691916288,0.694077691916288,0.694077691916288,0.6800383682200389,3.7050609588623047,0.0,0.0,0.0,3.74916410446167,0.0,0.0,0.0,0.0,0.0
sub001-ses04-block2-game2_000::b0007,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,5,26,0,Short,0.6383957123811465,0.7310357685924815,0.7567715903935053,0.6829289769430741,0.598565697231155,0.6426652582366075,0.659447841294564,0.642678198809476,0.6909907857408624,0.7165337183269643,3.9479081630706787,0.33809566497802734,3.9727180004119873,0.0,4.367809295654297,0.7115049362182617,0.34166574478149414,0.08029818534851074,0.0,0.5004730224609375
sub001-ses04-block2-game2_000::b0008,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,7,26,0,Short,0.6037554623069228,0.6212724496169644,0.7045368531196567,0.7245217155279885,0.7108609995857004,0.6361728771386099,0.7444295625101395,0.710915936144625,0.6775881261763351,0.6846050106824993,3.602444887161255,3.784010648727417,0.0,4.17440938949585,4.2921857833862305,0.052790164947509766,0.07740306854248047,0.0,1.1355702877044678,0.855536937713623
sub001-ses04-block2-game2_000::b0009,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,9,26,0,Short,0.620211247581632,0.752268220724496,0.9485923005622386,1.0583757361961572,0.9667011870182858,0.7116174675363862,0.6285474130687108,0.513892915735764,0.46189428863440896,0.49149397858529953,0.2778940200805664,0.8251693248748779,0.31015515327453613,0.0,3.8586483001708984,0.2913827896118164,0.9721145629882812,0.16867685317993164,0.0,0.0
sub001-ses04-block2-game2_000::b0010,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,7,26,0,Short,0.8486004989061198,0.9563292132488904,0.8741189875450449,0.8026672633698094,0.9510292264551818,0.4669130614701103,0.20375928801823423,0.4504045574663626,0.5029110765582566,0.46276476838052605,0.0023412704467773438,0.1735398769378662,4.468982696533203,3.9462990760803223,0.0,0.26450157165527344,0.0,0.0,0.0,0.0
sub001-ses04-block2-game2_000::b0011,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,3,26,0,Short,0.8277698606850536,0.9316130548542,0.9316130548542,0.9316130548542,0.852810350793922,0.47375967179656503,0.3898150024729044,0.3898150024729044,0.3898150024729044,0.5895983902541755,0.676917552947998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub001-ses04-block2-game2_000::b0012,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,3,26,0,Short,0.7995728184616708,0.7995728184616708,0.9345923935859995,0.9135646153448915,0.9135646153448915,0.5007138907336272,0.5007138907336272,0.556938077922769,0.5081507423144737,0.5081507423144737,5.124392509460449,5.124392509460449,4.101934909820557,4.67842435836792,4.67842435836792,1.207899570465088,1.207899570465088,0.0,0.6756515502929688,0.6756515502929688
sub001-ses04-block2-game2_000::b0013,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,3,26,0,Short,0.7182782542787134,0.7182782542787134,0.8419378338816083,0.9133578571016668,0.9133578571016668,0.531478268214657,0.531478268214657,0.5224929744922516,0.33347428194138834,0.33347428194138834,0.4913806915283203,0.4913806915283203,0.0,0.0,0.0,0.40207481384277344,0.40207481384277344,0.0,0.0,0.0
sub001-ses04-block2-game2_000::b0014,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,16,26,0,Short,0.47589201033969836,0.9727950458529824,0.9066832836942553,0.8108223661137178,0.8760700261521656,0.8063334544667623,0.4308402682057718,0.48019465420986807,0.506689677304754,0.4654463794437343,0.0012803077697753906,0.5631098747253418,4.871964454650879,0.0,0.0,0.0,0.0,0.20845556259155273,0.0,0.0
sub001-ses04-block2-game2_000::b0015,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,10,26,0,Short,1.0715943781154054,0.8898527763341795,0.849528675358448,0.877439762240035,0.9170007403330553,0.2566061488799472,0.36565232848131085,0.5311967229926133,0.5163392581708842,0.3896851388708007,0.0,0.05010080337524414,0.0,0.0,4.631290912628174,0.0,0.0,0.0,0.0,0.0
sub001-ses04-block2-game2_000::b0016,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,3,26,0,Short,0.6900348979643678,0.6900348979643678,0.928702277112049,1.0154609463346334,1.0154609463346334,0.5601480484296388,0.5601480484296388,0.314395140531559,0.39643173590031444,0.39643173590031444,0.43843841552734375,0.43843841552734375,5.056835174560547,4.630156517028809,4.630156517028809,0.0,0.0,0.6715197563171387,0.07142925262451172,0.07142925262451172
sub001-ses04-block2-game2_000::b0017,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,2,3,26,0,Short,0.7380589559500619,0.7380589559500619,1.0683354556404916,0.9516014478143834,0.9516014478143834,0.5451649316582158,0.5451649316582158,0.29457918032881203,0.2927547935919655,0.2927547935919655,0.2898712158203125,0.2898712158203125,4.9785919189453125,4.631808757781982,4.631808757781982,0.0,0.0,0.6835451126098633,0.26120901107788086,0.26120901107788086
