event_id,file,anchor,rel_step,entropy_actor,margin_actor,q_gap,entropy_actor_prev_s2,margin_actor_prev_s2,q_gap_prev_s2,rollout_spread,rollout_spread_prev_s2
sub001-ses04-block2-game2_000::b0001,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.31622360892843937,0.9032929501871764,0.0,1.6670826327943136,0.11612353975811746,0.011937618255615234,0.0,0.1775510311126709
sub001-ses04-block2-game2_000::b0002,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.6037409409480947,0.777902273412324,2.621948719024658,1.7828965282559546,0.00517896162349199,0.011364459991455078,0.15185809135437012,0.12336301803588867
sub001-ses04-block2-game2_000::b0003,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.7397007494104901,0.692482815126384,0.0,1.7268719658939318,0.04530415271464022,0.09521865844726562,0.0,0.33463406562805176
sub001-ses04-block2-game2_000::b0004,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.7503813668265216,0.6708273106812562,3.5279295444488525,1.7780303972620224,0.048462381892558776,0.026035785675048828,0.0,0.29950690269470215
sub001-ses04-block2-game2_000::b0005,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.5824203869297888,0.7034350423819483,0.0979464054107666,1.7580416103094463,0.02338432771801563,0.042510986328125,0.2952899932861328,0.5179901123046875
sub001-ses04-block2-game2_000::b0006,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.5550860974173008,0.7692916482567453,4.007555961608887,1.6989777772452106,0.025913109918210303,0.0036516189575195312,0.30138325691223145,0.2494068145751953
sub001-ses04-block2-game2_000::b0007,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.6183125856718275,0.6121924932479719,3.6179046630859375,1.7698764984733408,0.020334067792878302,0.03570890426635742,0.0,0.7129256725311279
sub001-ses04-block2-game2_000::b0008,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.6212724496169644,0.7444295625101395,3.784010648727417,1.7378542088657665,0.03501161921658866,0.008495807647705078,0.07740306854248047,0.7554001808166504
sub001-ses04-block2-game2_000::b0009,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.7019021047108626,0.6608147660506879,0.05481576919555664,1.7839287132175887,0.01893580937545772,0.2977457046508789,0.0,0.34215211868286133
sub001-ses04-block2-game2_000::b0010,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.8283944191158076,0.5547752192248497,4.428137302398682,1.7525310769914417,0.09274549148077768,0.014640331268310547,0.0,0.35851526260375977
sub001-ses04-block2-game2_000::b0011,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.8499791976753475,0.4443041656427815,4.234930515289307,1.7532467860636305,0.01710851619385159,0.3204350471496582,0.0,0.953589916229248
sub001-ses04-block2-game2_000::b0012,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.8816558077860052,0.4404368575116881,4.325058937072754,1.7649183069194063,0.02584558933012754,0.0921163558959961,0.20315313339233398,0.9426708221435547
sub001-ses04-block2-game2_000::b0013,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,1.0145022058555417,0.3810925666125547,0.2583589553833008,1.7494793532586552,0.023231573560048485,0.06711864471435547,0.0,0.7378244400024414
sub001-ses04-block2-game2_000::b0014,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.7809913250058546,0.5095805633740047,0.16785144805908203,1.7568722285258873,0.05674237391023307,0.3076353073120117,0.4175539016723633,0.0
sub001-ses04-block2-game2_000::b0015,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.8288677704542975,0.6074048336519742,5.108767986297607,1.666093894836058,0.04497251761400409,0.0333256721496582,0.02373027801513672,0.14606142044067383
sub001-ses04-block2-game2_000::b0016,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.7858084453281731,0.47532089537131395,0.11050987243652344,1.669888061902411,0.013915683991227945,0.18204545974731445,0.5155882835388184,0.22722911834716797
sub001-ses04-block2-game2_000::b0017,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.9990055567306203,0.34689753011828633,0.07454395294189453,1.7240484228920547,0.0259036815257723,0.062299251556396484,1.0338878631591797,0.5603523254394531
sub001-ses04-block2-game2_000::b0018,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.9516014478143834,0.2927547935919655,4.631808757781982,1.7831369109723538,0.008418847183020745,0.15633296966552734,0.26120901107788086,0.31363868713378906
sub001-ses04-block2-game2_000::b0019,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.7983112040671819,0.5055836937127489,0.06897687911987305,1.7506240979902468,0.025614061484242195,0.10402822494506836,0.19080543518066406,0.0006089210510253906
sub001-ses04-block2-game2_000::b0020,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,1.0175361244195593,0.2565458576028826,4.765110969543457,1.7080323304207041,0.09670851079561227,0.20755958557128906,0.0,1.0514893531799316
sub001-ses04-block2-game2_000::b0021,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.9733192430268316,0.2545764145277393,0.1938343048095703,1.776499161424679,0.03357890450044479,0.07585000991821289,0.2364177703857422,0.6077837944030762
sub001-ses04-block2-game2_000::b0022,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,1.0004988440497815,0.07979667550313702,4.882831573486328,1.7618780352577557,0.0857725278444674,0.2955293655395508,0.11410713195800781,0.0
sub001-ses04-block2-game2_000::b0023,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,1.063410268783025,0.1005040004639895,5.04902458190918,1.7699633780280881,0.037858987838200714,0.018184661865234375,0.3494424819946289,0.9843754768371582
sub001-ses04-block2-game2_000::b0024,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.8299357737282258,0.5167502751211401,4.741209506988525,1.7851574107555819,0.02480394762498675,0.03588151931762695,0.49961090087890625,0.38780975341796875
sub001-ses04-block2-game2_000::b0025,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.9788154456569729,0.11010599901146079,4.543703556060791,1.6924017181973736,0.08354449584590459,0.18191003799438477,0.4561920166015625,0.16871261596679688
sub001-ses04-block2-game2_000::b0026,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.7856856895858069,0.5453373797661379,0.0,1.771233369928506,0.008939262511063528,0.0021295547485351562,0.0,0.2515435218811035
sub001-ses04-block2-game2_000::b0027,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.869865234051051,0.4480367267860761,0.0,1.7706211167330883,0.006185084743116992,0.07063722610473633,0.0,0.40175867080688477
sub001-ses04-block2-game2_000::b0028,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,1.3715487820387258,0.17064939396610893,0.04142904281616211,1.762350441228648,0.009768829501140941,0.09086799621582031,0.7376413345336914,0.34064531326293945
sub001-ses04-block2-game2_000::b0029,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.847248154766336,0.47258051014070257,4.352465629577637,1.761738616289367,0.008575286603421023,0.06359148025512695,0.0,0.20784902572631836
sub001-ses04-block2-game2_000::b0030,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,1.2486451599371484,0.20005596185073515,4.694952487945557,1.770017425702533,0.030273029811174634,0.09102439880371094,0.6825246810913086,0.9814140796661377
sub001-ses04-block2-game2_000::b0031,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.769514838617849,0.5854761825988655,0.23947954177856445,1.7446478309675613,0.002729629554757973,0.038399696350097656,0.7407188415527344,0.2853832244873047
sub001-ses04-block2-game2_000::b0032,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.8156391375786414,0.5295332961834953,0.0,1.7771869510788347,0.0003573843012043276,0.0186309814453125,0.0,0.3806328773498535
sub001-ses04-block2-game2_000::b0033,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.8760185874843347,0.4883306743869641,0.0,1.7432098088977805,0.025039480430892463,0.12343597412109375,0.0,1.1134486198425293
sub001-ses04-block2-game2_000::b0034,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.8204663862416934,0.5273974121154055,0.07744932174682617,1.7675046961713596,0.0020108259881517487,0.08024406433105469,0.8780298233032227,0.18869781494140625
sub001-ses04-block2-game2_000::b0035,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.6780240571724597,0.6417518087061518,4.4468536376953125,1.7370696693975467,0.013450450410439657,0.02495098114013672,0.26163530349731445,0.14608478546142578
sub001-ses04-block2-game2_000::b0036,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.8111196629410706,0.5596555532282091,0.0739755630493164,1.7668023088195195,0.01707512758423424,0.1183004379272461,0.0,0.6519484519958496
sub001-ses04-block2-game2_000::b0037,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.7086550600035759,0.5904077070430694,0.06199932098388672,1.7804871406021718,0.013272417395157138,0.08854103088378906,0.10421466827392578,0.3746066093444824
sub001-ses04-block2-game2_000::b0038,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.8207148827864812,0.5181558849383101,0.19622373580932617,1.7176887162306056,0.011391966796320402,0.1641230583190918,0.6118035316467285,0.22834014892578125
sub001-ses04-block2-game2_000::b0039,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.8454723769041849,0.5504244535012685,0.0,1.7244935415438496,0.06786067233270476,0.02468252182006836,0.0,0.5819811820983887
sub001-ses04-block2-game2_000::b0040,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.9472104860392514,0.4904745108309642,0.03512239456176758,1.7699798566628198,0.010863742960817796,0.5734853744506836,0.19824695587158203,1.0639348030090332
sub001-ses04-block2-game2_000::b0041,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.4221186532106168,0.8223261266267073,0.0,1.7361597693032718,0.004466635927329404,0.5073761940002441,0.0,1.8030877113342285
sub001-ses04-block2-game2_000::b0042,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,1.1228170976150686,0.3338628284685803,0.20762109756469727,1.745136260292928,0.05114924792960732,0.26477766036987305,0.0,1.3469326496124268
sub001-ses04-block2-game2_000::b0043,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,1.191633118455591,0.010444348403135406,0.09993362426757812,1.7724419894393997,0.03719090672701847,0.054286956787109375,0.3747115135192871,0.5632190704345703
sub001-ses04-block2-game2_000::b0044,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,1.3771433020770332,0.06771876659878051,0.0,1.6212988730402749,0.13800276769884723,0.09916400909423828,0.0,0.04790925979614258
sub001-ses04-block2-game2_000::b0045,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.9532345678467206,0.338356023458178,0.24674057960510254,1.7610603005807839,0.032177116642415876,0.0057277679443359375,0.0,0.2975497245788574
sub001-ses04-block2-game2_000::b0046,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,1.0882406756982965,0.26965731475039106,0.0,1.7749529084192965,0.03381161388178461,0.1126708984375,0.0,0.5865902900695801
sub001-ses04-block2-game2_000::b0047,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.774358970124385,0.6308528979409717,4.0506720542907715,1.7184751534051106,0.029565061508661505,0.02279949188232422,0.0,0.17909479141235352
sub001-ses04-block2-game2_000::b0048,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.8988013535374842,0.5176599682627128,4.690134048461914,1.7569359511351892,0.07262314578369197,0.013944149017333984,0.30740833282470703,0.7036228179931641
sub001-ses04-block2-game2_000::b0049,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.9104351252046298,0.3531108523796727,0.09402132034301758,1.758450893125346,0.08771986188780773,0.020882129669189453,0.35097265243530273,0.13927888870239258
sub001-ses04-block2-game2_000::b0050,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.9895260907022952,0.1479076479363325,0.21558427810668945,1.7411969940690626,0.06501232095808973,0.05962848663330078,0.1036367416381836,0.29323768615722656
sub001-ses04-block2-game2_000::b0051,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,1.0135484827155503,0.18324197607347947,0.0,1.7047929872547076,0.15163733673748367,0.21157312393188477,0.0,1.191403865814209
sub001-ses04-block2-game2_000::b0052,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,1.2138091760491354,0.2072895732671251,0.0,1.7610764205391565,0.08098344361780938,0.14730215072631836,0.0,1.1832120418548584
sub001-ses04-block2-game2_000::b0053,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.8535578724303666,0.637113613824367,3.7707161903381348,1.6442600232161928,0.0006917911973359225,0.31003904342651367,0.4917888641357422,0.43753814697265625
sub001-ses04-block2-game2_000::b0054,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,1.023874370435612,0.5363891403660307,3.4629154205322266,1.7339051399342145,0.009565164458998104,0.05934715270996094,0.0,0.6903634071350098
sub001-ses04-block2-game2_000::b0055,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.505416622190344,0.791208728795248,0.15062856674194336,1.7809130729039104,0.04158133567711428,0.28449487686157227,0.3523879051208496,1.2293968200683594
sub001-ses04-block2-game2_000::b0056,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.901705249990116,0.4734925996271051,0.05632495880126953,1.7636689750872878,0.051698537532098715,0.005741596221923828,0.9661328792572021,0.5072722434997559
sub001-ses04-block2-game2_000::b0057,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.7614185063288578,0.6583488705638265,3.644662857055664,1.7426323666749957,0.013278575412469684,0.02568340301513672,0.09731411933898926,0.05327320098876953
sub001-ses04-block2-game2_000::b0058,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.8371234528316164,0.6266813116733363,0.0,1.716672109521681,0.048627343310453486,0.026772022247314453,0.0,0.06448841094970703
sub001-ses04-block2-game2_000::b0059,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.8015799029794247,0.5680984679793539,4.735198974609375,1.7558912625127023,0.011310186663318955,0.10604047775268555,0.0,1.1446294784545898
sub001-ses04-block2-game2_000::b0060,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.8359208157931478,0.517652877316121,5.301300048828125,1.6845814451524208,0.13330939358798008,0.03568315505981445,0.6610913276672363,0.8428702354431152
sub001-ses04-block2-game2_000::b0061,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.7743942915874529,0.5426143564820225,0.0,1.7476460134549743,0.06203939664447547,0.012486934661865234,0.0,0.5085611343383789
sub001-ses04-block2-game2_000::b0062,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.8586542099386263,0.6200889333617584,4.39027214050293,1.6956479427053193,0.11688737887053477,0.09033823013305664,0.2135028839111328,0.5447239875793457
sub001-ses04-block2-game2_000::b0063,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,1.1367347048060967,0.3813547593100549,0.19703388214111328,1.6775499974996475,0.05179749321943891,0.09543180465698242,0.6620798110961914,0.16222763061523438
sub001-ses04-block2-game2_000::b0064,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.9764419246389977,0.5368700527259551,0.0,1.7528885600042208,0.05965652496196727,0.14002513885498047,0.0,0.16675257682800293
sub001-ses04-block2-game2_000::b0065,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,1.1230656079310561,0.018193773754956122,3.6111233234405518,1.7610487097043817,0.06110352231666513,0.02089691162109375,0.0,0.6286571025848389
sub001-ses04-block2-game2_000::b0066,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,commit,-6,0.8130884412716085,0.5520413160042554,4.149066925048828,1.6307115648873451,0.06275559974899259,0.009346485137939453,0.6113500595092773,0.2613248825073242
