event_id,file,subject,session,block,game,chunk,start_pos,end_pos,pre_pos,commit_pos,length_real_steps,start_global_idx,end_global_idx,commit_global_idx,commit_action,entropy_at_pre,entropy_at_onset,entropy_at_commit,margin_at_pre,margin_at_onset,margin_at_commit,q_gap_at_pre,q_gap_at_onset,q_gap_at_commit,rollout_spread_at_pre,rollout_spread_at_onset,rollout_spread_at_commit,cross2,is_long,bout_class
sub001-ses04-block2-game2_000::b0029,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,451,454,450,455,4,23464,23626,23683,1,0.8987636098975726,0.7305164112479774,1.2486451599371484,0.5061280697401191,0.5246315688676239,0.20005596185073515,0.14512062072753906,3.845546007156372,4.694952487945557,0.7823271751403809,0.0,0.6825246810913086,26,0,Short
sub001-ses04-block2-game2_000::b0030,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,458,460,457,461,3,23851,23955,24010,1,0.811540579042112,0.7442742006795506,1.0736277377217334,0.5259271001297641,0.5713370547168485,0.0983630189962526,0.10033416748046875,4.571187496185303,0.058771610260009766,0.37503957748413086,0.0,0.7137489318847656,26,0,Short
sub001-ses04-block2-game2_000::b0031,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,465,468,464,469,4,24237,24392,24444,1,0.7107789933586832,0.9265007670887947,1.2355616395953062,0.5928713120639331,0.42391522079778016,0.1316943104706333,0.0,0.06934928894042969,5.131643295288086,0.0,0.7082242965698242,0.8911876678466797,26,0,Short
sub001-ses04-block2-game2_000::b0032,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,473,475,472,476,3,24657,24756,24809,1,0.81115120777607,0.8056130701986923,1.2935735685077163,0.5548992229585791,0.5225669226841319,0.0865078106524459,0.0060825347900390625,0.0,4.644382476806641,0.0,0.0,0.0,26,0,Short
sub001-ses04-block2-game2_000::b0033,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,481,483,480,484,3,25077,25182,25233,1,0.8025260369800336,0.7356684014238799,1.2014741563604796,0.5697844215882593,0.5549568732447797,0.07676923845780287,4.39300537109375,4.708887577056885,4.706672191619873,0.14400148391723633,0.6783089637756348,0.752495288848877,26,0,Short
sub001-ses04-block2-game2_000::b0034,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,489,491,488,492,3,25523,25627,25676,1,0.7554127122329694,0.8494837104274925,0.9793948237201412,0.5779552820143194,0.4799157157499025,0.2886959884156339,0.10982179641723633,0.17488908767700195,0.0,0.8258357048034668,0.18861103057861328,0.0,26,0,Short
sub001-ses04-block2-game2_000::b0035,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,497,498,496,499,2,25953,26001,26053,1,0.7956929497902938,0.7777998963474617,1.0980533312697494,0.5391343655525576,0.5665020027749962,0.0637630093394081,0.07272529602050781,4.415562152862549,0.007750988006591797,0.06615924835205078,0.31154584884643555,0.578125,26,0,Short
sub001-ses04-block2-game2_000::b0036,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,505,507,504,508,3,26376,26488,26542,1,0.7936769276310578,0.8356371550551926,1.116710478294635,0.5640850219511613,0.5164805270109045,0.19542003696795784,0.12087202072143555,0.12978124618530273,0.030780792236328125,0.0,0.831153392791748,0.03707599639892578,26,0,Short
sub001-ses04-block2-game2_000::b0037,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,513,515,512,516,3,26805,26911,26966,1,0.7510583564218296,0.8301822394984097,1.0544469333229707,0.5628833219189566,0.5224299501179164,0.2320526496614555,0.016681194305419922,4.3798065185546875,4.245549201965332,0.10472393035888672,0.39699268341064453,0.0,26,0,Short
sub001-ses04-block2-game2_000::b0038,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,521,524,520,525,4,27238,27397,27454,1,0.8706025614862521,0.7447705855549551,0.936958131429472,0.542970702104353,0.5741559808072187,0.31835584643458564,0.28716611862182617,0.12430334091186523,4.027928829193115,0.22241497039794922,0.26920080184936523,0.0,26,0,Short
sub001-ses04-block2-game2_000::b0039,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,529,532,528,533,4,27672,27833,27883,1,0.764063888814556,0.7885944295836299,0.922412771277967,0.5249660676421909,0.5538269295849572,0.38115172054614094,4.018399238586426,4.98307466506958,4.086220741271973,0.0,1.194319725036621,0.11913204193115234,26,0,Short
sub001-ses04-block2-game2_000::b0040,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,537,540,536,541,4,28098,28262,28313,4,1.168116155631763,0.8319453494671935,0.8789620731711077,0.06801822822138859,0.5779365432496317,0.5555332703900409,0.08123111724853516,4.007381439208984,3.991060256958008,0.20948147773742676,0.08331727981567383,0.0,26,0,Short
sub001-ses04-block2-game2_000::b0041,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,560,563,559,564,4,29361,29516,29569,2,0.3120930763795538,0.541295711114502,0.8354076895021708,0.8974211916408713,0.7611243793104703,0.6075001779923661,4.592903137207031,0.11885762214660645,0.08415937423706055,1.1226980686187744,0.0,0.0,26,0,Short
sub001-ses04-block2-game2_000::b0042,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,577,583,576,584,7,30274,30585,30640,2,0.4079781714471234,0.28769088903803924,1.2855853982389525,0.8244391113608629,0.8826735314044714,0.26503452178215126,1.888521671295166,3.571826934814453,0.7413332462310791,0.8847799301147461,0.0,0.8615403175354004,26,0,Short
sub001-ses04-block2-game2_000::b0043,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,596,600,595,601,5,31279,31492,31545,2,1.191633118455591,1.1733152993918032,1.1771008882185723,0.010444348403135406,0.2820305764435127,0.3680091027638568,0.09993362426757812,0.0,4.273378372192383,0.3747115135192871,0.0,0.17690277099609375,26,0,Short
sub001-ses04-block2-game2_000::b0044,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,683,686,682,687,4,35697,35855,35908,2,0.9115467720123616,0.822950593141049,1.0971293039537762,0.45252347182342767,0.49082893929808546,0.33906041880558124,4.790995121002197,5.30674409866333,0.5557742118835449,0.0,0.640993595123291,1.6516504287719727,26,0,Short
sub001-ses04-block2-game2_000::b0045,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,000,729,750,728,751,22,37993,39025,39077,1,0.7235344901719208,0.5195617160444409,0.8222525766776483,0.6213932775271466,0.7815560572604149,0.5311742004661649,3.6412808895111084,4.159040927886963,0.03734707832336426,0.38959741592407227,0.5717897415161133,0.0,26,0,Short
