model,n,n_commit_next,cv_auc,cv_log_loss,n_predictors,log_loss_improvement_vs_elapsed
Elapsed only,18379,2196,0.5905220735245007,0.36073076332043624,1,0.0
Actor entropy,18379,2196,0.6354719703500502,0.35255963709298,2,0.008171126227456249
Prev-s2 tree,18379,2196,0.5917479067680707,0.3605356284750045,3,0.00019513484543176585
Actor + prev-s2 tree,18379,2196,0.6348901684254104,0.35266991133044406,4,0.00806085198999218
Imag search summary,18379,2196,0.5993217150786874,0.3588953922883392,9,0.0018353710320970218
Actor + all search,18379,2196,0.6394157916282429,0.35112258520844014,12,0.009608178111996102
