file,subject,session,game,half,n_steps,noop_ratio,entropy_noop_r,entropy_noop_slope,qgap_noop_r,qgap_noop_slope
test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,Early,1959,0.3854007146503318,0.3799939097893335,0.18493917649927535,0.051421163061281146,0.02502615780454919
test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,Late,1959,0.3619193466054109,0.43101862870233787,0.2071284374634086,0.015331965100085372,0.007367862461014269
test/sub001/ses-04/sub001-ses04-block2-game2_001.npy,sub001,04,2,Early,2079,0.3588263588263588,0.30944758959968394,0.14842843326297728,0.021259162650781045,0.010197087683924654
test/sub001/ses-04/sub001-ses04-block2-game2_001.npy,sub001,04,2,Late,2079,0.35353535353535354,0.09972492127194829,0.04767519924122348,-0.04674288834488472,-0.022346234888171484
test/sub001/ses-04/sub001-ses04-block2-game2_002.npy,sub001,04,2,Early,5360,0.3876865671641791,0.2241763327068599,0.10922373676732562,-0.0206437108666036,-0.010058078898704168
test/sub001/ses-04/sub001-ses04-block2-game2_002.npy,sub001,04,2,Late,5360,0.30727611940298505,0.1784350469233005,0.08232365499082372,-0.029336635062665754,-0.013534891632148119
test/sub001/ses-04/sub001-ses04-block4-game2_000.npy,sub001,04,2,Early,2201,0.41481144934120856,0.3506100905417939,0.1727418986146072,-0.005502873693546156,-0.002711207906729823
test/sub001/ses-04/sub001-ses04-block4-game2_000.npy,sub001,04,2,Late,2201,0.4906860517946388,0.033421293988999796,0.016707747458072204,-0.08412630341971761,-0.0420558531509079
test/sub001/ses-04/sub001-ses04-block4-game2_001.npy,sub001,04,2,Early,6589,0.3967218090757323,0.3259999845374888,0.1594848484488978,0.023246002504364906,0.011372347737070911
test/sub001/ses-04/sub001-ses04-block4-game2_001.npy,sub001,04,2,Late,6589,0.41022916982850205,0.02025733259486646,0.00996407922662582,-0.04321562384968339,-0.021256692994923897
test/sub001/ses-04/sub001-ses04-block8-game2_000.npy,sub001,04,2,Early,2853,0.400981423063442,0.23934095099093125,0.1173003435938896,-0.0484569670198094,-0.023748626624031953
test/sub001/ses-04/sub001-ses04-block8-game2_000.npy,sub001,04,2,Late,2853,0.5127935506484402,0.14488208925908255,0.07241732718020909,0.010053767492053585,0.005025237926833696
test/sub001/ses-04/sub001-ses04-block8-game2_001.npy,sub001,04,2,Early,1876,0.4184434968017058,0.24435342315410982,0.12054044684671227,0.004303223391592643,0.002122796005090729
test/sub001/ses-04/sub001-ses04-block8-game2_001.npy,sub001,04,2,Late,1877,0.33617474693660093,0.2999847847284308,0.1417126619513941,0.030359489759555706,0.014341807746000985
test/sub001/ses-04/sub001-ses04-block8-game2_002.npy,sub001,04,2,Early,1676,0.3520286396181384,0.36441587602761655,0.17404605875584414,-0.000796771990778332,-0.0003805405687402741
test/sub001/ses-04/sub001-ses04-block8-game2_002.npy,sub001,04,2,Late,1677,0.3470483005366726,-0.027315023184265652,-0.013002805394962938,-0.07014226852786613,-0.03338991372894705
