file,subject,session,block,game,chunk,n_steps,noop_ratio,mean_entropy,mean_margin,mean_q_gap,total_reward,entropy_noop_r,entropy_noop_slope,qgap_noop_r,qgap_noop_slope,episode_idx,cumulative_reward
test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,sub001,04,2,2,0,3918,0.37366003062787134,0.8389789832720229,0.5429648466459968,1.2863808936601568,485.0,0.37938459243227823,0.18353676611395997,0.04005390476744071,0.019377076185668057,0,485.0
test/sub001/ses-04/sub001-ses04-block2-game2_001.npy,sub001,04,2,2,1,4158,0.35618085618085615,0.8461132920552913,0.5352089109816325,1.1372135403567998,600.0,0.18653566861835708,0.08932625323969777,-0.0015125401106814663,-0.0007243094147209427,1,1085.0
test/sub001/ses-04/sub001-ses04-block2-game2_002.npy,sub001,04,2,2,2,10720,0.3474813432835821,0.8467341560023051,0.5423681933927722,1.2031725935128743,1860.0,0.19926153349401907,0.09488240425342631,-0.02038489885714763,-0.00970668136548093,2,2945.0
test/sub001/ses-04/sub001-ses04-block4-game2_000.npy,sub001,04,4,2,0,4402,0.4527487505679237,0.8447071153939951,0.5452106090541246,1.0797620670615167,600.0,0.18107888335173306,0.09013424366451295,-0.05176444807941453,-0.02576639136476487,3,3545.0
test/sub001/ses-04/sub001-ses04-block4-game2_001.npy,sub001,04,4,2,1,13178,0.40347548945211714,0.8341745759812095,0.5595470330690113,1.131521266670593,2535.0,0.16138749954620848,0.0791758287641437,-0.011241343597748634,-0.005514941976760047,4,6080.0
test/sub001/ses-04/sub001-ses04-block8-game2_000.npy,sub001,04,8,2,0,5706,0.4568874868559411,0.8055928236208427,0.5787958880668312,1.1814078928864358,1070.0,0.1721578186886326,0.08575832455796772,-0.023451880348286342,-0.011682269104690102,5,7150.0
test/sub001/ses-04/sub001-ses04-block8-game2_001.npy,sub001,04,8,2,1,3753,0.37729816147082335,0.8938137135894867,0.5061258739523583,1.1778249877617666,775.0,0.2281016191453,0.11056324751684113,0.03381665357199545,0.01639128671278007,6,7925.0
test/sub001/ses-04/sub001-ses04-block8-game2_002.npy,sub001,04,8,2,2,3353,0.3495377274082911,0.8670481440987886,0.5241827523036796,1.184240872089936,545.0,0.14494796117453987,0.06911466322716706,-0.022377433088150087,-0.010670096628052116,7,8470.0
