event_id,file,pre_pos,onset_pos,commit_pos,length_real_steps,entropy_actor_pre,entropy_actor_onset,entropy_actor_commit,entropy_actor_delta,entropy_actor_delta_commit_pre,entropy_actor_delta_commit_onset,margin_actor_pre,margin_actor_onset,margin_actor_commit,margin_actor_delta,margin_actor_delta_commit_pre,margin_actor_delta_commit_onset,q_gap_pre,q_gap_onset,q_gap_commit,q_gap_delta,q_gap_delta_commit_pre,q_gap_delta_commit_onset,entropy_actor_prev_s2_pre,entropy_actor_prev_s2_onset,entropy_actor_prev_s2_commit,entropy_actor_prev_s2_delta,entropy_actor_prev_s2_delta_commit_pre,entropy_actor_prev_s2_delta_commit_onset,margin_actor_prev_s2_pre,margin_actor_prev_s2_onset,margin_actor_prev_s2_commit,margin_actor_prev_s2_delta,margin_actor_prev_s2_delta_commit_pre,margin_actor_prev_s2_delta_commit_onset,q_gap_prev_s2_pre,q_gap_prev_s2_onset,q_gap_prev_s2_commit,q_gap_prev_s2_delta,q_gap_prev_s2_delta_commit_pre,q_gap_prev_s2_delta_commit_onset,rollout_spread_pre,rollout_spread_onset,rollout_spread_commit,rollout_spread_delta,rollout_spread_delta_commit_pre,rollout_spread_delta_commit_onset,rollout_spread_prev_s2_pre,rollout_spread_prev_s2_onset,rollout_spread_prev_s2_commit,rollout_spread_prev_s2_delta,rollout_spread_prev_s2_delta_commit_pre,rollout_spread_prev_s2_delta_commit_onset
sub001-ses04-block2-game2_000::b0001,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,87,88,97,9,0.4890990945628729,0.4770488994336012,0.7515816878904101,0.2624825933275372,0.2624825933275372,0.27453278845680895,0.8029728824789345,0.7714771486297393,0.7175728804348042,-0.08540000204413034,-0.08540000204413034,-0.0539042681949351,0.0,0.0,0.047670602798461914,0.047670602798461914,0.047670602798461914,0.047670602798461914,1.6618257206987972,1.744781472414404,1.7494010967915625,0.08757537609276533,0.08757537609276533,0.004619624377158571,0.1171836614428157,0.04108149103672315,0.06575720862756146,-0.05142645281525424,-0.05142645281525424,0.02467571759083831,0.013149499893188477,0.035883426666259766,0.01052093505859375,-0.0026285648345947266,-0.0026285648345947266,-0.025362491607666016,0.0,0.0,0.11115479469299316,0.11115479469299316,0.11115479469299316,0.11115479469299316,0.04506206512451172,0.01451563835144043,0.01717686653137207,-0.02788519859313965,-0.02788519859313965,0.0026612281799316406
sub001-ses04-block2-game2_000::b0002,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,110,111,127,16,0.46540983258404744,0.39742211260837446,0.6051712529842546,0.13976142040020711,0.13976142040020711,0.2077491403758801,0.7998852534296849,0.8364325955938953,0.7683845970353749,-0.03150065639430999,-0.03150065639430999,-0.0680479985585204,2.5657060146331787,2.714529037475586,0.015108823776245117,-2.5505971908569336,-2.5505971908569336,-2.699420213699341,1.6409554405448596,1.7421256698854894,1.6927626265016087,0.05180718595674905,0.05180718595674905,-0.049363043383880756,0.14909964828505376,0.06346665303625831,0.082186717492222,-0.06691293079283175,-0.06691293079283175,0.018720064455963692,0.0028171539306640625,0.014817953109741211,0.05234169960021973,0.049524545669555664,0.049524545669555664,0.037523746490478516,0.0,0.06679439544677734,0.12865304946899414,0.12865304946899414,0.12865304946899414,0.0618586540222168,0.17334413528442383,0.0641794204711914,0.20472025871276855,0.03137612342834473,0.03137612342834473,0.14054083824157715
sub001-ses04-block2-game2_000::b0003,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,132,133,153,20,0.9949123667360549,1.0568568856226188,0.599947987665485,-0.3949643790705699,-0.3949643790705699,-0.45690889795713385,0.319526658091279,0.33229408239868824,0.7853300607578575,0.4658034026665785,0.4658034026665785,0.45303597835916926,3.279798746109009,0.03577613830566406,0.3088374137878418,-2.970961332321167,-2.970961332321167,0.27306127548217773,1.705622304470227,1.7744896003866142,1.7388721202573776,0.03324981578715058,0.03324981578715058,-0.0356174801292366,0.031014801050448543,0.045577613848440085,0.08484022823212056,0.05382542718167202,0.05382542718167202,0.03926261438368048,0.0014429092407226562,0.04906821250915527,0.26166391372680664,0.260221004486084,0.260221004486084,0.21259570121765137,0.08599996566772461,0.0,0.5282382965087891,0.44223833084106445,0.44223833084106445,0.5282382965087891,0.21029353141784668,0.19136762619018555,0.5042598247528076,0.29396629333496094,0.29396629333496094,0.31289219856262207
sub001-ses04-block2-game2_000::b0004,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,163,164,177,13,0.5992053859467714,0.7702928145916756,0.7954925607660568,0.19628717481928537,0.19628717481928537,0.025199746174381144,0.6625362786976086,0.5057466732238873,0.6415345905966647,-0.021001688100943827,-0.021001688100943827,0.1357879173727774,3.5573832988739014,3.597649097442627,0.2287909984588623,-3.328592300415039,-3.328592300415039,-3.3688580989837646,1.7471516472128261,1.6850807374634234,1.7774794324972658,0.03032778528443969,0.03032778528443969,0.09239869503384246,0.07377026380901472,0.007085561332528967,0.035984585183370915,-0.037785678625643804,-0.037785678625643804,0.02889902385084195,0.0025072097778320312,0.08922648429870605,0.18413519859313965,0.18162798881530762,0.18162798881530762,0.0949087142944336,0.0,0.07948637008666992,0.6684975624084473,0.6684975624084473,0.6684975624084473,0.5890111923217773,0.19937658309936523,0.664452075958252,0.7297713756561279,0.5303947925567627,0.5303947925567627,0.06531929969787598
sub001-ses04-block2-game2_000::b0005,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,190,191,197,6,0.8538931525914556,0.5824203869297888,0.6904136295343329,-0.16347952305712266,-0.16347952305712266,0.10799324260454413,0.4302147100725706,0.7034350423819483,0.7294713146268891,0.29925660455431846,0.29925660455431846,0.02603627224494076,0.0,0.0979464054107666,4.212465286254883,4.212465286254883,4.212465286254883,4.114518880844116,1.7558364097630121,1.7580416103094463,1.7472659665147283,-0.008570443248283821,-0.008570443248283821,-0.01077564379471796,0.03879239320856234,0.02338432771801563,0.11274330647733191,0.07395091326876957,0.07395091326876957,0.08935897875931628,0.07267522811889648,0.042510986328125,0.15137195587158203,0.07869672775268555,0.07869672775268555,0.10886096954345703,0.0,0.2952899932861328,0.7162034511566162,0.7162034511566162,0.7162034511566162,0.4209134578704834,0.1617140769958496,0.5179901123046875,1.0986943244934082,0.9369802474975586,0.9369802474975586,0.5807042121887207
sub001-ses04-block2-game2_000::b0006,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,210,211,214,3,0.5631189222312035,0.36993490306237126,0.7700135634405201,0.20689464120931655,0.20689464120931655,0.4000786603781488,0.7353721316109904,0.8619636279874623,0.6355939849486677,-0.09977814666232265,-0.09977814666232265,-0.2263696430387946,0.005943775177001953,3.7050609588623047,3.8572704792022705,3.8513267040252686,3.8513267040252686,0.15220952033996582,1.7641670097796203,1.7743464291261064,1.7499419895928217,-0.01422502018679861,-0.01422502018679861,-0.02440443953328475,0.03479069234712412,0.03977415729905495,0.0007968957891688611,-0.03399379655795526,-0.03399379655795526,-0.03897726150988609,0.04366898536682129,0.10536026954650879,0.011855840682983398,-0.03181314468383789,-0.03181314468383789,-0.09350442886352539,0.10565471649169922,0.0,0.3723158836364746,0.2666611671447754,0.2666611671447754,0.3723158836364746,0.1081080436706543,0.908656120300293,0.21336770057678223,0.10525965690612793,0.10525965690612793,-0.6952884197235107
sub001-ses04-block2-game2_000::b0007,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,230,231,236,5,0.6183125856718275,0.6383957123811465,0.6776053018158932,0.05929271614406573,0.05929271614406573,0.03920958943474673,0.6121924932479719,0.6426652582366075,0.6995322755622899,0.08733978231431805,0.08733978231431805,0.056867017325682445,3.6179046630859375,3.9479081630706787,3.6180057525634766,0.0001010894775390625,0.0001010894775390625,-0.32990241050720215,1.7698764984733408,1.7765996097784098,1.7533293201586753,-0.016547178314665567,-0.016547178314665567,-0.02327028961973454,0.020334067792878302,0.06431122588220592,0.06867310494524248,0.04833903715236418,0.04833903715236418,0.004361879063036561,0.03570890426635742,0.0923466682434082,0.3045997619628906,0.2688908576965332,0.2688908576965332,0.21225309371948242,0.0,0.7115049362182617,0.0,0.0,0.0,-0.7115049362182617,0.7129256725311279,0.691631555557251,0.0,-0.7129256725311279,-0.7129256725311279,-0.691631555557251
sub001-ses04-block2-game2_000::b0008,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,238,239,246,7,0.512879928848549,0.6037554623069228,0.7725944485179254,0.2597145196693763,0.2597145196693763,0.16883898621100257,0.722939809345257,0.6361728771386099,0.6316673048693442,-0.09127250447591284,-0.09127250447591284,-0.004505572269265734,0.0,3.602444887161255,4.506369590759277,4.506369590759277,4.506369590759277,0.9039247035980225,1.666708948475737,1.6915531672055886,1.787966745741699,0.12125779726596209,0.12125779726596209,0.09641357853611043,0.021181769710359566,0.05259863848628668,0.023111948281492795,0.0019301785711332287,0.0019301785711332287,-0.029486690204793886,0.10474729537963867,0.37552356719970703,0.4758615493774414,0.37111425399780273,0.37111425399780273,0.10033798217773438,0.0,0.052790164947509766,1.0897216796875,1.0897216796875,1.0897216796875,1.0369315147399902,0.5896461009979248,1.267265796661377,1.178229808807373,0.5885837078094482,0.5885837078094482,-0.0890359878540039
sub001-ses04-block2-game2_000::b0009,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,249,250,259,9,0.535291357718576,0.620211247581632,0.8288313901368509,0.29354003241827487,0.29354003241827487,0.20862014255521888,0.7609929806064923,0.7116174675363862,0.5384240552560858,-0.2225689253504065,-0.2225689253504065,-0.17319341228030039,0.030942916870117188,0.2778940200805664,0.0,-0.030942916870117188,-0.030942916870117188,-0.2778940200805664,1.778397922644383,1.762788298684434,1.7595721367814723,-0.018825785862910616,-0.018825785862910616,-0.0032161619029618116,0.00426781989162861,0.034883919869156566,0.009431998563145583,0.005164178671516972,0.005164178671516972,-0.025451921306010983,0.18057823181152344,0.5409822463989258,0.09406471252441406,-0.08651351928710938,-0.08651351928710938,-0.4469175338745117,0.528566837310791,0.2913827896118164,0.0,-0.528566837310791,-0.528566837310791,-0.2913827896118164,0.535499095916748,0.20861387252807617,0.6085853576660156,0.07308626174926758,0.07308626174926758,0.39997148513793945
sub001-ses04-block2-game2_000::b0010,test/sub001/ses-04/sub001-ses04-block2-game2_000.npy,263,264,271,7,0.8467920100440063,0.8486004989061198,0.7662879624473489,-0.08050404759665741,-0.08050404759665741,-0.0823125364587709,0.35536800698303495,0.4669130614701103,0.5959907388041357,0.24062273182110072,0.24062273182110072,0.12907767733402536,0.0,0.0023412704467773438,4.0367655754089355,4.0367655754089355,4.0367655754089355,4.034424304962158,1.7143859029190014,1.6588544243285852,1.7430572087865701,0.02867130586756872,0.02867130586756872,0.0842027844579849,0.1511572107226272,0.09398337068278195,0.057060081033015936,-0.09409712968961126,-0.09409712968961126,-0.03692328964976602,0.1070108413696289,0.07911014556884766,0.1542963981628418,0.04728555679321289,0.04728555679321289,0.07518625259399414,0.0,0.26450157165527344,0.0,0.0,0.0,-0.26450157165527344,0.3262138366699219,0.7615017890930176,0.34758996963500977,0.02137613296508789,0.02137613296508789,-0.4139118194580078
