game,level,r,p,n
Pong,subject,0.004849439876004745,0.9927258972082943,6
Pong,session,0.1687743041579809,0.4304842483659086,24
SpaceInvaders,subject,-0.3981136349085176,0.43437895168302715,6
SpaceInvaders,session,-0.2034602438239549,0.3403050760686617,24
