subject,game,game_name,day,bout_length
sub_1,1,Pong,1,13
sub_1,1,Pong,1,26
sub_1,1,Pong,1,10
sub_1,1,Pong,1,43
sub_1,1,Pong,1,19
sub_1,1,Pong,1,64
sub_1,1,Pong,1,70
sub_1,1,Pong,1,144
sub_1,1,Pong,1,23
sub_1,1,Pong,1,10
sub_1,1,Pong,1,15
sub_1,1,Pong,1,28
sub_1,1,Pong,1,165
sub_1,1,Pong,1,58
sub_1,1,Pong,1,150
sub_1,1,Pong,1,121
sub_1,1,Pong,1,115
sub_1,1,Pong,1,46
sub_1,1,Pong,1,18
sub_1,1,Pong,1,104
sub_1,1,Pong,1,171
sub_1,1,Pong,1,12
sub_1,1,Pong,1,7
sub_1,1,Pong,1,62
sub_1,1,Pong,1,24
sub_1,1,Pong,1,120
sub_1,1,Pong,1,15
sub_1,1,Pong,1,16
sub_1,1,Pong,1,28
sub_1,1,Pong,1,9
sub_1,1,Pong,1,85
sub_1,1,Pong,1,170
sub_1,1,Pong,1,25
sub_1,1,Pong,1,19
sub_1,1,Pong,1,19
sub_1,1,Pong,1,157
sub_1,1,Pong,1,12
sub_1,1,Pong,1,82
sub_1,1,Pong,1,12
sub_1,1,Pong,1,14
sub_1,1,Pong,1,41
sub_1,1,Pong,1,45
sub_1,1,Pong,1,111
sub_1,1,Pong,1,54
sub_1,1,Pong,1,231
sub_1,1,Pong,1,18
sub_1,1,Pong,1,147
sub_1,1,Pong,1,38
sub_1,1,Pong,1,10
sub_1,1,Pong,1,55
sub_1,1,Pong,1,11
sub_1,1,Pong,1,128
sub_1,1,Pong,1,11
sub_1,1,Pong,1,25
sub_1,1,Pong,1,148
sub_1,1,Pong,1,13
sub_1,1,Pong,1,11
sub_1,1,Pong,1,189
sub_1,1,Pong,1,54
sub_1,1,Pong,1,19
sub_1,1,Pong,1,157
sub_1,1,Pong,1,23
sub_1,1,Pong,1,20
sub_1,1,Pong,1,15
sub_1,1,Pong,1,90
sub_1,1,Pong,1,26
sub_1,1,Pong,1,15
sub_1,1,Pong,1,53
sub_1,1,Pong,1,153
sub_1,1,Pong,1,26
sub_1,1,Pong,1,18
sub_1,1,Pong,1,20
sub_1,1,Pong,1,150
sub_1,1,Pong,1,49
sub_1,1,Pong,1,38
sub_1,1,Pong,1,150
sub_1,1,Pong,1,18
sub_1,1,Pong,1,30
sub_1,1,Pong,1,175
sub_1,1,Pong,1,41
sub_1,1,Pong,1,19
sub_1,1,Pong,1,179
sub_1,1,Pong,1,256
sub_1,1,Pong,1,41
sub_1,1,Pong,1,351
sub_1,1,Pong,1,13
sub_1,1,Pong,1,12
sub_1,1,Pong,1,63
sub_1,1,Pong,1,14
