subject,game_name,noop_mean,noop_std,n_episodes
sub_1,Pong,0.9184922769948094,0.022499327771498687,11
sub_1,SpaceInvaders,0.39453666996066544,0.04153955170186125,50
sub_2,Pong,0.9073200987725212,0.014334110389870557,11
sub_2,SpaceInvaders,0.5305311808110011,0.060154418035998025,54
sub_3,Pong,0.8758278639054917,0.06401645300738339,11
sub_3,SpaceInvaders,0.3949459975431607,0.0774242491921617,32
sub_4,Pong,0.7904985216811309,0.09064224975003203,11
sub_4,SpaceInvaders,0.38177312530805785,0.05062848981973928,35
sub_5,Pong,0.8231284510467577,0.0225818666857725,11
sub_5,SpaceInvaders,0.5118683488402477,0.07857961629249038,46
sub_6,Pong,0.9008524864488929,0.02891545775122119,11
sub_6,SpaceInvaders,0.38844368402439977,0.10802113039707106,64
