subject,pong_noop,si_noop,pong_above_chance,si_above_chance
sub_1,0.9184922769948094,0.39453666996066544,True,True
sub_2,0.9073200987725212,0.5305311808110011,True,True
sub_3,0.8758278639054917,0.3949459975431606,True,True
sub_4,0.7904985216811309,0.3817731253080578,True,True
sub_5,0.8231284510467575,0.5118683488402477,True,True
sub_6,0.9008524864488929,0.38844368402439977,True,True
