subject,subject_label,session,block,game_id,game_name,episode_index,n_withholding_preceded,n_not_preceded,reward_withholding_preceded_mean,reward_not_preceded_mean,reward_difference,episode_label
sub-001,S1,1,2,0,Enduro,0,367,8116,0.3405994550408719,0.1397240019714145,0.20087545306945742,ses01-block02-ep00
sub-001,S1,1,2,0,Enduro,1,205,4610,0.3902439024390244,0.19587852494577007,0.19436537749325433,ses01-block02-ep01
sub-001,S1,1,5,0,Enduro,0,577,13534,0.3344887348353553,0.20526082458992168,0.12922791024543362,ses01-block05-ep00
sub-001,S1,2,1,0,Enduro,0,402,11985,0.36318407960199006,0.19040467250730078,0.17277940709468928,ses02-block01-ep00
sub-001,S1,2,3,0,Enduro,0,395,12382,0.3468354430379747,0.20667097399450815,0.14016446904346655,ses02-block03-ep00
sub-001,S1,2,6,0,Enduro,0,364,12557,0.31043956043956045,0.23445090387831488,0.07598865656124557,ses02-block06-ep00
sub-001,S1,3,1,0,Enduro,0,641,9198,0.27301092043681746,0.20569689062839747,0.06731402980842,ses03-block01-ep00
sub-001,S1,3,3,0,Enduro,0,651,9126,0.2903225806451613,0.21992110453648916,0.07040147610867215,ses03-block03-ep00
sub-001,S1,3,6,0,Enduro,0,517,10139,0.2765957446808511,0.21096755104053655,0.06562819364031452,ses03-block06-ep00
sub-001,S1,4,1,0,Enduro,0,557,11549,0.3213644524236984,0.22417525326868126,0.09718919915501711,ses04-block01-ep00
sub-001,S1,4,3,0,Enduro,0,304,11999,0.2598684210526316,0.23301941828485706,0.02684900276777452,ses04-block03-ep00
sub-001,S1,4,6,0,Enduro,0,368,11186,0.22826086956521738,0.21705703558018952,0.011203833985027861,ses04-block06-ep00
sub-001,S1,1,1,1,Pong,0,276,2143,-0.025362318840579712,-0.024731684554363042,-0.0006306342862166699,ses01-block01-ep00
sub-001,S1,1,4,1,Pong,0,244,1404,-0.028688524590163935,-0.06552706552706553,0.03683854093690159,ses01-block04-ep00
