subject,subject_label,game_id,game_name,n_withholding_preceded,n_not_preceded,reward_withholding_preceded_mean,reward_not_preceded_mean,reward_difference
sub-001,S1,0,Enduro,5348,126381,0.10789080029917726,0.07096003354934681,0.03693076674983045
sub-002,S2,0,Enduro,4754,72149,0.1079091291543963,0.06009785305409639,0.04781127610029991
sub-003,S3,0,Enduro,1522,119534,0.1307490144546649,0.06444191610755098,0.06630709834711393
sub-004,S4,0,Enduro,612,142199,0.042483660130718956,0.07708914971272653,-0.03460548958200757
sub-005,S5,0,Enduro,2506,114128,0.11093375897845172,0.06965862890789289,0.04127513007055883
sub-006,S6,0,Enduro,2878,117558,0.11709520500347463,0.0667415233331632,0.05035368167031143
sub-001,S1,1,Pong,2152,9446,-0.0009293680297397769,-0.005716705483802668,0.004787337454062891
sub-002,S2,1,Pong,1800,8394,0.0005555555555555556,-0.009530617107457708,0.010086172663013263
sub-003,S3,1,Pong,1557,14364,-0.002569043031470777,-0.016499582289055972,0.013930539257585195
sub-004,S4,1,Pong,3198,23622,-0.0050031269543464665,-0.006138345610024553,0.0011352186556780868
sub-005,S5,1,Pong,2457,20218,-0.001221001221001221,-0.008111583737263825,0.006890582516262604
sub-006,S6,1,Pong,1874,10874,-0.003735325506937033,-0.0055177487585065296,0.0017824232515694966
sub-001,S1,2,SpaceInvaders,11487,157114,1.1203969704883783,0.788122000585562,0.33227496990281624
sub-002,S2,2,SpaceInvaders,9745,112833,0.9753719856336582,0.8297661145232335,0.14560587111042478
sub-003,S3,2,SpaceInvaders,8728,121228,1.0208524289642529,0.8833767776421289,0.13747565132212403
sub-004,S4,2,SpaceInvaders,12824,119279,1.0651902682470369,0.9369210003437319,0.12826926790330495
sub-005,S5,2,SpaceInvaders,5478,97417,0.7457101131799927,0.6745229272098299,0.07118718597016283
sub-006,S6,2,SpaceInvaders,11847,124820,1.1534565712838694,0.8995753885595257,0.2538811827243437
