game_id,game_name,mean_withholding_preceded,mean_not_preceded,n_subjects,shapiro_p,test_name,statistic,p_value,significance
0,Enduro,0.1028435946701473,0.0681648507774628,6,0.02763125733402526,Wilcoxon signed-rank,1.0,0.0625,ns
1,Pong,-0.0021503848646566197,-0.008585763831018544,6,0.697941966257964,paired t-test,3.18897619090209,0.024292802983758948,*
2,SpaceInvaders,1.0134963896328648,0.8353807014773355,6,0.37853825014277376,paired t-test,4.542133967229249,0.006156655296782514,**
