subject,subject_label,game_id,game_name,n_episodes,mean_withholding_preceded,mean_not_preceded,n_subjects,shapiro_p,test_name,statistic,p_value,significance
sub-001,S1,0,Enduro,12,0.3112678470165962,0.20693559626886507,12,0.49369459199317783,paired t-test,5.742912652830346,0.00012971630149357806,***
sub-001,S1,1,Pong,11,-0.011557037315996306,-0.021092389348573912,11,0.014433540664199449,Wilcoxon signed-rank,1.0,0.00390625,**
sub-001,S1,2,SpaceInvaders,50,3.2549799803217785,2.1826158634417103,50,0.17964449804045318,paired t-test,11.120094934783342,5.279792778507082e-15,***
sub-002,S2,0,Enduro,12,0.30086656608682155,0.1708432154659528,12,0.6852594801017694,paired t-test,14.117869197780132,2.1533103856031082e-08,***
sub-002,S2,1,Pong,11,-0.015189551810073094,-0.03719991109712363,11,0.5073791197881483,paired t-test,7.558111448989031,1.929981658173132e-05,***
sub-002,S2,2,SpaceInvaders,54,2.909478126166889,2.3921992164801487,54,0.0001841409726711203,Wilcoxon signed-rank,148.0,3.075272313845935e-07,***
sub-003,S3,0,Enduro,11,0.3117261470161989,0.18830403023658915,11,0.5400294563481179,paired t-test,4.608010350003807,0.0009681759289140645,***
sub-003,S3,1,Pong,11,-0.037420358710233505,-0.061421903218374034,11,0.7122404424831322,paired t-test,4.643556844985631,0.0009170066847791942,***
sub-003,S3,2,SpaceInvaders,32,3.0236676417028,2.5261991959071013,32,0.00459312457884672,Wilcoxon signed-rank,99.0,0.0014367210678756237,**
sub-004,S4,0,Enduro,11,0.08685349824021754,0.23105922799090062,11,0.14980080424906994,paired t-test,-2.676958712526061,0.023213595863512092,*
sub-004,S4,1,Pong,11,-0.01704807737852286,-0.02315295194531439,11,0.5861418995909978,paired t-test,3.3187513460842757,0.007763799606805897,**
sub-004,S4,2,SpaceInvaders,35,3.300437786320754,2.5900198455260184,35,0.1981351347326249,paired t-test,5.786418459190159,1.6313372612907313e-06,***
sub-005,S5,0,Enduro,11,0.3009095240102044,0.20687732575651194,11,0.10703211839033056,paired t-test,4.2887612063228335,0.001589305854211066,**
sub-005,S5,1,Pong,11,-0.013726619636034111,-0.044042148048511746,11,0.16911322738489504,paired t-test,9.345767615372504,2.9447099342168974e-06,***
sub-005,S5,2,SpaceInvaders,46,2.2712708284465406,1.7026530070063688,46,0.0035374335309198025,Wilcoxon signed-rank,161.0,9.70527736422576e-05,***
sub-006,S6,0,Enduro,12,0.3185891374513838,0.18421774925090226,12,0.9879835273444658,paired t-test,6.57665560217968,3.98819888930519e-05,***
sub-006,S6,1,Pong,11,-0.011040303664831093,-0.022588628559439994,11,0.048068097452835516,Wilcoxon signed-rank,4.0,0.0068359375,**
sub-006,S6,2,SpaceInvaders,64,3.183284881510698,2.5427560762052934,64,0.00010968407945606776,Wilcoxon signed-rank,176.0,3.2548231702808514e-08,***
