term,coef,se,z,p,sig
Intercept,-9.865078550886447e-19,,,,ns
z_paddle_dist,0.04481216605006731,0.0014910753132519365,30.053589950687968,1.9597881371955277e-198,***
z_score_diff,0.012234841372510984,0.0015426549022812814,7.9310293925219915,2.1733676735398197e-15,***
subject Var,0.0,,,,ns
