,ball_x,ball_x,ball_x,ball_x,ball_x,ball_x,ball_x,ball_x,ball_y,ball_y,ball_y,ball_y,ball_y,ball_y,ball_y,ball_y,paddle_dist,paddle_dist,paddle_dist,paddle_dist,paddle_dist,paddle_dist,paddle_dist,paddle_dist,noop,noop,noop,noop,noop,noop,noop,noop
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
subject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,135700.0,127.75498157700811,39.25210348414285,0.0,96.0,128.0,160.0,205.0,135700.0,114.96168017686072,52.2803509160823,0.0,74.0,115.0,158.0,208.0,135700.0,76.42054430581229,43.18402309242185,0.0,42.54409408569336,74.4311752319336,106.00471496582031,244.3460693359375,135700.0,0.9145320560058954,0.2795778076807641,0.0,1.0,1.0,1.0,1.0
2,109937.0,126.82258020502651,39.73329350947825,0.0,95.0,127.0,160.0,205.0,109937.0,114.54598542801787,51.834150171011025,0.0,75.0,117.0,155.0,208.0,109937.0,78.9748177881031,45.00031917078076,0.0,43.011627197265625,78.00640869140625,110.3177261352539,223.21514892578125,109937.0,0.9072741661133195,0.29004916627994765,0.0,1.0,1.0,1.0,1.0
3,128287.0,128.90835392518338,41.8700847650358,0.0,95.0,129.0,163.0,205.0,128287.0,108.73685564398575,55.19330001147874,0.0,69.0,108.0,153.0,208.0,128287.0,83.10578269663259,45.88821285932426,0.0,48.46648406982422,80.62257385253906,114.00438690185547,244.3460693359375,128287.0,0.8758954531636097,0.3297020710228606,0.0,1.0,1.0,1.0,1.0
4,128036.0,126.43305788996845,40.73181432925059,0.0,94.0,126.0,160.0,205.0,128036.0,113.02157986816208,54.175637858498035,0.0,72.0,115.0,157.0,208.0,128036.0,82.55112395540851,46.06333568858391,0.0,46.010868072509766,81.60882568359375,113.17243194580078,274.4886169433594,128036.0,0.7905276640944734,0.40693361834918,0.0,1.0,1.0,1.0,1.0
5,128204.0,129.65949580356306,41.24576071361279,0.0,96.0,130.0,163.0,205.0,128204.0,112.82502106018534,54.601618161272235,0.0,72.0,114.0,157.0,207.0,128204.0,80.49778644264735,42.62442053253865,0.0,48.166378021240234,79.05693817138672,108.4066390991211,244.3460693359375,128204.0,0.8231334435743034,0.38155722142809556,0.0,1.0,1.0,1.0,1.0
6,128616.0,127.5920803010512,39.27522530860382,0.0,96.0,128.0,160.0,205.0,128616.0,115.28103035392175,51.804211506449,0.0,75.0,116.0,157.0,207.0,128616.0,77.61972368408708,42.31792672843385,0.0,44.72135925292969,76.5767593383789,107.56393432617188,239.2655487060547,128616.0,0.9008832493624432,0.29881986989403775,0.0,1.0,1.0,1.0,1.0
