term,coef,se,z,p,sig
Intercept,1.6083403536484175e-17,,,,ns
z_enemy_count,-0.008448435552302722,0.00259352598861045,-3.2575095022777054,0.0011239449529134426,**
z_enemies_y,0.007220776349964554,0.00258789323837587,2.790214156785009,0.005267318806425803,**
z_player_x,-0.03463631186376699,0.002280080955312157,-15.190825476205545,4.067648180009872e-52,***
z_num_lives,0.008309453027602796,0.0023303111071750187,3.565812737199777,0.0003627303191749905,***
subject Var,0.0,,,,ns
