iter	Passed	Remaining
333	2248081	4482701
334	2254858	4476062
335	2261569	4469292
336	2268210	4462385
337	2274904	4455581
338	2281616	4448816
339	2288387	4442163
340	2295107	4435412
341	2301788	4428587
342	2308490	4421802
343	2315153	4414943
344	2321868	4408185
345	2328610	4401478
346	2335361	4394786
347	2342134	4388136
348	2348831	4381345
349	2355553	4374599
350	2362242	4367793
351	2368912	4360951
352	2375684	4354299
353	2382453	4347641
354	2389174	4340894
355	2395827	4334024
356	2402565	4327309
357	2409258	4320513
358	2416062	4313916
359	2422797	4307195
360	2429537	4300482
361	2436270	4293758
362	2443041	4287100
363	2449814	4280444
364	2456580	4273777
365	2463337	4267092
366	2470006	4260256
367	2476735	4253523
368	2483484	4246825
369	2490263	4240178
370	2497034	4233516
371	2503762	4226781
372	2510554	4220155
373	2517270	4213399
374	2523961	4206602
375	2530761	4199987
376	2537445	4193179
377	2544223	4186527
378	2550919	4179738
379	2557616	4172952
380	2564369	4166259
381	2571165	4159634
382	2577892	4152897
383	2584626	4146171
384	2591309	4139365
385	2598083	4132702
386	2604854	4126035
387	2611589	4119311
388	2618271	4112503
389	2625014	4105791
390	2631737	4099049
391	2638438	4092271
392	2645184	4085564
393	2651913	4078832
394	2658652	4072112
395	2665365	4065355
396	2672093	4058621
397	2678778	4051820
398	2685424	4044962
399	2692146	4038220
400	2698860	4031465
401	2705567	4024700
402	2712276	4017937
403	2718980	4011168
404	2725772	4004530
405	2732512	3997814
406	2739192	3991010
407	2745908	3984258
408	2752584	3977451
409	2759243	3970618
410	2765964	3963876
411	2772687	3957136
412	2779387	3950364
413	2786105	3943617
414	2792821	3936868
415	2799530	3930109
416	2806281	3923409
417	2812994	3916656
418	2819742	3909952
419	2826445	3903186
420	2833188	3896475
421	2839911	3889736
422	2846641	3883007
423	2853385	3876297
424	2860078	3869517
425	2866829	3862817
426	2873587	3856125
427	2880328	3849411
428	2887045	3842664
429	2893773	3835932
430	2900531	3829239
431	2907250	3822495
432	2913935	3815707
433	2920700	3809023
434	2927395	3802249
435	2934108	3795497
436	2940819	3788744
437	2947605	3782087
438	2954311	3775327
439	2961059	3768620
440	2967731	3761817
441	2974427	3755045
442	2981171	3748334
443	2987891	3741593
444	2994653	3734905
445	3001323	3728100
446	3008048	3721365
447	3014725	3714572
448	3021444	3707830
449	3028089	3700998
450	3034801	3694248
451	3041527	3687515
452	3048249	3680778
453	3054931	3673992
454	3061653	3667255
455	3068329	3660462
456	3075037	3653710
457	3081791	3647011
458	3088536	3640300
459	3095259	3633565
460	3101989	3626838
461	3108729	3620121
462	3115448	3613382
463	3122211	3606692
464	3128940	3599964
465	3135616	3593173
466	3142354	3586456
467	3149108	3579756
468	3155745	3572922
469	3162441	3566156
470	3169127	3559381
471	3175855	3552651
472	3182595	3545935
473	3189385	3539276
474	3196132	3532567
475	3202830	3525805
476	3209550	3519067
477	3216195	3512247
478	3222957	3505554
479	3229701	3498843
480	3236408	3492091
481	3243183	3485412
482	3249912	3478685
483	3256654	3471970
484	3263319	3465173
485	3270051	3458449
486	3276785	3451727
487	3283494	3444977
488	3290230	3438257
489	3296989	3431560
490	3303709	3424823
491	3310446	3418103
492	3317165	3411365
493	3323869	3404610
494	3330604	3397889
495	3337338	3391166
496	3344081	3384452
497	3350803	3377717
498	3357586	3371044
499	3364328	3364328
500	3371032	3357575
501	3377770	3350856
502	3384464	3344093
503	3391182	3337354
504	3397830	3330547
505	3404569	3323828
506	3411290	3317093
507	3418044	3310389
508	3424772	3303661
509	3431475	3296907
510	3438157	3290135
511	3444884	3283405
512	3451624	3276688
513	3458379	3269985
514	3465107	3263256
515	3471869	3256559
516	3478584	3249818
517	3485334	3243110
518	3492123	3236438
519	3498844	3229702
520	3505576	3222977
521	3512242	3216191
522	3518973	3209465
523	3525708	3202743
524	3532423	3196001
525	3539055	3189187
526	3545756	3182433
527	3552483	3175704
528	3559184	3168952
529	3565915	3162227
530	3572645	3155500
531	3579379	3148777
532	3586078	3142023
533	3592761	3135256
534	3599508	3128544
535	3606234	3121814
536	3612900	3115033
537	3619616	3108295
538	3626324	3101549
539	3633018	3094793
540	3639702	3088028
541	3646378	3081257
542	3653098	3074523
543	3659841	3067808
544	3666509	3061030
545	3673190	3054264
546	3679965	3047576
547	3686681	3040839
548	3693377	3034086
549	3700053	3027316
550	3706765	3020576
551	3713453	3013817
552	3720194	3007100
553	3726920	3000373
554	3733675	2993667
555	3740386	2986927
556	3747127	2980211
557	3753873	2973498
558	3760675	2966829
559	3767360	2960068
560	3774086	2953340
561	3780816	2946614
562	3787546	2939889
563	3794289	2933174
564	3800957	2926401
565	3807678	2919668
566	3814353	2912901
567	3821067	2906164
568	3827734	2899391
569	3834377	2892600
570	3841068	2885846
571	3847821	2879139
572	3854523	2872393
573	3861319	2865718
574	3868003	2858958
575	3874681	2852195
576	3881411	2845471
577	3888123	2838733
578	3894765	2831945
579	3901485	2825213
580	3908217	2818490
581	3914920	2811746
582	3921585	2804976
583	3928280	2798227
584	3934967	2791472
585	3941717	2784762
586	3948383	2777994
587	3955154	2771298
588	3961902	2764587
589	3968580	2757827
590	3975328	2751115
591	3982052	2744387
592	3988755	2737644
593	3995449	2730896
594	4002124	2724135
595	4008868	2717421
596	4015514	2710640
597	4022275	2703937
598	4028991	2697204
599	4035736	2690490
600	4042434	2683746
601	4049134	2677002
602	4055772	2670218
603	4062553	2663528
604	4069335	2656838
605	4076060	2650112
606	4082752	2643363
607	4089446	2636617
608	4096214	2629917
609	4102934	2623187
610	4109664	2616463
611	4116353	2609714
612	4123045	2602967
613	4129818	2596270
614	4136520	2589529
615	4143236	2582796
616	4149986	2576085
617	4156702	2569353
618	4163474	2562655
619	4170138	2555891
620	4176828	2549143
621	4183546	2542412
622	4190339	2535727
623	4197040	2528985
624	4203785	2522271
625	4210465	2515517
626	4217198	2508795
627	4223976	2502100
628	4230715	2495382
629	4237440	2488655
630	4244118	2481901
631	4250812	2475156
632	4257511	2468414
633	4264217	2461677
634	4270943	2454951
635	4277721	2448255
636	4284474	2441544
637	4291175	2434804
638	4297908	2428082
639	4304622	2421350
640	4311356	2414628
641	4318154	2407943
642	4324949	2401254
643	4331693	2394538
644	4338428	2387817
645	4345132	2381078
646	4351874	2374361
647	4358573	2367620
648	4365288	2360887
649	4372019	2354164
650	4378764	2347448
651	4385435	2340692
652	4392139	2333954
653	4398837	2327213
654	4405578	2320495
655	4412332	2313783
656	4419021	2307038
657	4425715	2300295
658	4432435	2293566
659	4439181	2286850
660	4445928	2280135
661	4452678	2273421
662	4459473	2266730
663	4466184	2259997
664	4472865	2253248
665	4479516	2246484
666	4486238	2239756
667	4492929	2233013
668	4499645	2226281
669	4506389	2219565
670	4513108	2212835
671	4519789	2206087
672	4526482	2199345
673	4533196	2192614
674	4539892	2185874
675	4546567	2179124
676	4553260	2172382
677	4560014	2165670
678	4566714	2158932
679	4573451	2152212
680	4580094	2145448
681	4586878	2138749
682	4593682	2132060
683	4600411	2125336
684	4607120	2118602
685	4613872	2111889
686	4620619	2105172
687	4627307	2098429
688	4633995	2091687
689	4640731	2084966
690	4647499	2078259
691	4654246	2071543
692	4660955	2064809
693	4667679	2058083
694	4674451	2051377
695	4681087	2044612
696	4687781	2037873
697	4694491	2031141
698	4701229	2024420
699	4707946	2017691
700	4714651	2010957
701	4721317	2004205
702	4728042	1997480
703	4734776	1990758
704	4741514	1984038
705	4748250	1977316
706	4754948	1970579
707	4761684	1963858
708	4768455	1957151
709	4775167	1950420
710	4781857	1943680
711	4788565	1936947
712	4795284	1930219
713	4801992	1923487
714	4808741	1916771
715	4815505	1910060
716	4822174	1903312
717	4828906	1896590
718	4835595	1889850
719	4842372	1883144
720	4849034	1876394
721	4855763	1869670
722	4862405	1862913
723	4869119	1856183
724	4875801	1849441
725	4882505	1842708
726	4889223	1835980
727	4895954	1829257
728	4902583	1822496
729	4909269	1815757
730	4915983	1809028
731	4922652	1802282
732	4929300	1795529
733	4935956	1788779
734	4942604	1782027
735	4949322	1775300
736	4956028	1768569
737	4962769	1761850
738	4969424	1755101
739	4976120	1748366
740	4982864	1741648
741	4989628	1734938
742	4996273	1728186
743	5003069	1721486
744	5009745	1714745
745	5016454	1708015
746	5023216	1701303
747	5029816	1694537
748	5036459	1687785
749	5043176	1681058
750	5049892	1674331
751	5056559	1667588
752	5063261	1660857
753	5069989	1654134
754	5076723	1647413
755	5083404	1640675
756	5090123	1633949
757	5096799	1627210
758	5103499	1620478
759	5110207	1613749
760	5116921	1607022
761	5123549	1600268
762	5130268	1593543
763	5137016	1586826
764	5143662	1580079
765	5150350	1573344
766	5157079	1566622
767	5163751	1559883
768	5170444	1553150
769	5177182	1546431
770	5183939	1539717
771	5190625	1532982
772	5197393	1526272
773	5204117	1519548
774	5210835	1512823
775	5217499	1506082
776	5224236	1499362
777	5230936	1492632
778	5237639	1485902
779	5244356	1479177
780	5251001	1472431
781	5257703	1465702
782	5264424	1458978
783	5271110	1452244
784	5277793	1445510
785	5284529	1438790
786	5291292	1432077
787	5298027	1425357
788	5304745	1418632
789	5311424	1411897
790	5318113	1405165
791	5324823	1398438
792	5331573	1391722
793	5338319	1385004
794	5345029	1378278
795	5351727	1371548
796	5358428	1364819
797	5365176	1358102
798	5371894	1351377
799	5378552	1344638
800	5385293	1337919
801	5391948	1331179
802	5398710	1324465
803	5405403	1317735
804	5412158	1311019
805	5418897	1304300
806	5425665	1297587
807	5432425	1290873
808	5439165	1284153
809	5445872	1277426
810	5452569	1270697
811	5459290	1263973
812	5465981	1257242
813	5472745	1250529
814	5479439	1243799
815	5486112	1237064
816	5492852	1230345
817	5499548	1223615
818	5506278	1216894
819	5512983	1210167
820	5519663	1203434
821	5526387	1196711
822	5533179	1190003
823	5539931	1183286
824	5546605	1176552
825	5553314	1169826
826	5560022	1163100
827	5566724	1156372
828	5573449	1149650
829	5580135	1142919
830	5586803	1136184
831	5593514	1129459
832	5600227	1122734
833	5606884	1115998
834	5613624	1109279
835	5620365	1102559
836	5627129	1095844
837	5633834	1089118
838	5640556	1082395
839	5647274	1075671
840	5654033	1068955
841	5660715	1062224
842	5667366	1055488
843	5674077	1048763
844	5680800	1042040
845	5687550	1035322
846	5694232	1028592
847	5700857	1021851
848	5707558	1015125
849	5714259	1008398
850	5720969	1001673
851	5727656	994945
852	5734466	988237
853	5741199	981516
854	5747929	974795
855	5754681	968077
856	5761419	961356
857	5768144	954634
858	5774916	947919
859	5781714	941209
860	5788472	934492
861	5795179	927766
862	5801858	921036
863	5808583	914314
864	5815296	907589
865	5821968	900858
866	5828655	894130
867	5835319	887398
868	5842030	880674
869	5848712	873945
870	5855461	867226
871	5862169	860501
872	5868840	853771
873	5875507	847041
874	5882197	840313
875	5888899	833588
876	5895647	826869
877	5902362	820146
878	5909097	813425
879	5915831	806704
880	5922515	799976
881	5929213	793250
882	5935884	786521
883	5942639	779803
884	5949393	773085
885	5956114	766362
886	5962737	759627
887	5969428	752900
888	5976121	746174
889	5982783	739445
890	5989420	732712
891	5996122	725987
892	6002918	719274
893	6009637	712552
894	6016312	705824
895	6023012	699099
896	6029765	692381
897	6036422	685651
898	6043235	678939
899	6049904	672211
900	6056582	665484
901	6063245	658756
902	6070026	652040
903	6076736	645317
904	6083478	638597
905	6090145	631869
906	6096937	625154
907	6103648	618431
908	6110355	611707
909	6117118	604989
910	6123813	598265
911	6130522	591541
912	6137262	584821
913	6143938	578094
914	6150671	571373
915	6157373	564649
916	6164062	557924
917	6170784	551202
918	6177495	544480
919	6184210	537757
920	6190902	531032
921	6197615	524310
922	6204277	517583
923	6210968	510858
924	6217730	504140
925	6224448	497418
926	6231160	490695
927	6237838	483970
928	6244521	477245
929	6251214	470521
930	6257942	463800
931	6264623	457075
932	6271360	450354
933	6278010	443628
934	6284697	436904
935	6291290	430173
936	6297995	423451
937	6304689	416727
938	6311314	410000
939	6318038	403279
940	6324696	396553
941	6331388	389830
942	6338066	383106
943	6344762	376384
944	6351440	369660
945	6358148	362938
946	6364920	356220
947	6371644	349499
948	6378352	342777
949	6385068	336056
950	6391774	329334
951	6398478	322612
952	6405186	315890
953	6411834	309166
954	6418549	302444
955	6425297	295724
956	6432038	289004
957	6438731	282282
958	6445413	275559
959	6452109	268837
960	6458829	262116
961	6465506	255394
962	6472255	248674
963	6478972	241953
964	6485724	235233
965	6492364	228509
966	6499045	221787
967	6505784	215067
968	6512419	208343
969	6519072	201620
970	6525773	194899
971	6532501	188179
972	6539224	181458
973	6545915	174736
974	6552605	168015
975	6559301	161294
976	6565966	154572
977	6572661	147851
978	6579342	141129
979	6586016	134408
980	6592716	127687
981	6599434	120967
982	6606099	114245
983	6612811	107525
984	6619518	100804
985	6626274	94085
986	6632889	87363
987	6639563	80642
988	6646212	73921
989	6652959	67201
990	6659604	60480
991	6666272	53760
992	6672976	47040
993	6679626	40319
994	6686358	33599
995	6693046	26879
996	6699697	20159
997	6706446	13439
998	6713199	6719
999	6719888	0
