target,feature,label,lag_order,lr_stat,lr_df,lr_p,lr_sig,delta_aic_ar_minus_full,delta_bic_ar_minus_full,lag1_coef,lag1_p,n,event_rate,error
human,entropy_actor,Actor entropy,1,0.10837699983312632,1,0.7419995181845207,ns,-1.8916230001668737,-10.694865315937932,-0.005395426101694877,0.6851286901611031,49180,0.38973159821065473,
human,entropy_actor,Actor entropy,2,8.521423056761705,2,0.014112257565216061,*,4.521423056761705,-13.08473621281155,-0.024569627426431956,0.3365588915831187,49172,0.38967298462539657,
human,entropy_actor,Actor entropy,3,16.455541157785774,3,0.0009144154526198483,***,10.455541157785774,-15.953209624218289,-0.06970227608015894,0.0007796090500540998,49164,0.38961435196485233,
human,entropy_actor,Actor entropy,4,45.25422240059925,4,3.5203114612653445e-09,***,37.25422240059925,2.043205626981944,-0.05896393064007975,0.0020147310555425468,49156,0.3895557002197087,
human,entropy_actor,Actor entropy,5,23.938596827774745,5,0.00022309166684171363,***,13.938596827774745,-30.074360337162943,-0.06171305081005919,0.00014002663838827198,49148,0.38949702938064623,
human,neg_q_gap,Low Q gap,1,22.409200701229565,1,2.2031606104423837e-06,***,20.409200701229565,11.605958385458507,0.07514615601534294,0.0002997810766021069,49180,0.38973159821065473,
human,neg_q_gap,Low Q gap,2,40.26038589689779,2,1.8095403965899786e-09,***,36.26038589689779,18.654226627324533,0.07521609868748386,0.0003525253709142344,49172,0.38967298462539657,
human,neg_q_gap,Low Q gap,3,46.9122507719876,3,3.6282368073000007e-10,***,40.9122507719876,14.503499989983538,0.07289132775616074,0.0005274970559175285,49164,0.38961435196485233,
human,neg_q_gap,Low Q gap,4,48.38131082649488,4,7.859072724552799e-10,***,40.38131082649488,5.17029405287758,0.06727535053208926,0.0025895122540906808,49156,0.3895557002197087,
human,neg_q_gap,Low Q gap,5,38.94017090689158,5,2.44160409983003e-07,***,28.94017090689158,-15.072786258046108,0.0626258101048828,0.0021449184184680666,49148,0.38949702938064623,
human,search_jsd_actor_root,Actor-root JSD,1,1.4896408481508843,1,0.2222721926384861,ns,-0.5103591518491157,-9.313601467620174,0.019509659016794068,0.03698102219789648,49180,0.38973159821065473,
human,search_jsd_actor_root,Actor-root JSD,2,15.720624414945632,2,0.00038575341747012636,***,11.720624414945632,-5.885534854627622,-0.002508271985049151,0.8475662015818953,49172,0.38967298462539657,
human,search_jsd_actor_root,Actor-root JSD,3,58.7281576221103,3,1.098804964953725e-12,***,52.7281576221103,26.31940684010624,0.03234016560750298,0.0071003752545086,49164,0.38961435196485233,
human,search_jsd_actor_root,Actor-root JSD,4,71.41310000508383,4,1.1417892079244563e-14,***,63.413100005083834,28.20208323146653,0.014470982643445488,0.40275817331756536,49156,0.3895557002197087,
human,search_jsd_actor_root,Actor-root JSD,5,213.09290664315995,5,4.4795587101988e-44,***,203.09290664315995,159.07994947822226,-0.024343826487749,0.13547283848218578,49148,0.38949702938064623,
human,rollout_spread,Rollout spread,1,13.79273870101315,1,0.000204123635888354,***,11.79273870101315,2.9894963852420915,-0.062188622838204234,1.274791449240858e-12,49180,0.38973159821065473,
human,rollout_spread,Rollout spread,2,29.07703482295983,2,4.85290861428593e-07,***,25.07703482295983,7.470875553386577,-0.0649257367068712,5.700081147571018e-17,49172,0.38967298462539657,
