target,model,features,n,event_rate,mean_auc,sem_auc,mean_ap,mean_brier,n_folds,error
human,null,,49188,0.38983085305359033,0.5,0.0,0.39015950364410434,0.23839435595285646,5,
human,actor_entropy,entropy_actor,49188,0.38983085305359033,0.6193673567399987,0.013821849736755676,0.4656616520462264,0.22964601799879505,5,
human,q_conflict,neg_q_gap,49188,0.38983085305359033,0.5577409299486168,0.0036234775920190535,0.4639979576023925,0.23838970613807478,5,
human,search_disagreement,search_jsd_actor_root,49188,0.38983085305359033,0.6266829487644889,0.008556743178265627,0.4498290542075618,0.23732727783953197,5,
human,rollout_spread,rollout_spread,49188,0.38983085305359033,0.603825340324576,0.004489620368531655,0.4587825568201126,0.23103236257640716,5,
human,actor_margin,neg_actor_policy_gap,49188,0.38983085305359033,0.5796919776598011,0.017634638882469786,0.4417725302806428,0.23506006715115055,5,
human,branch_structure,"branch_entropy,tree_width",49188,0.38983085305359033,0.6228898728563091,0.005627440104866045,0.4737103382470275,0.22744307589657567,5,
human,full_uncertainty,"entropy_actor,neg_q_gap,search_jsd_actor_root,rollout_spread,neg_actor_policy_gap,branch_entropy,tree_width",49188,0.38983085305359033,0.6843037887411016,0.006735355159328002,0.5623788770482048,0.21542903870067104,5,
thinker,null,,49188,0.3603317882410344,0.5,0.0,0.3602115749338466,0.23071510687179533,5,
thinker,actor_entropy,entropy_actor,49188,0.3603317882410344,0.5873060449200531,0.012855053453951772,0.406075343020084,0.22644157557026148,5,
thinker,q_conflict,neg_q_gap,49188,0.3603317882410344,0.5442176974615454,0.0052267907857855575,0.40758156860152617,0.2306705724182744,5,
thinker,search_disagreement,search_jsd_actor_root,49188,0.3603317882410344,0.5872251634917304,0.008253004057046525,0.3978347201338126,0.23026825012103314,5,
thinker,rollout_spread,rollout_spread,49188,0.3603317882410344,0.5683899856721004,0.002797570618968694,0.401559236090404,0.22766145631105994,5,
thinker,actor_margin,neg_actor_policy_gap,49188,0.3603317882410344,0.557670571607048,0.016529268850583617,0.39735396080776475,0.22918296068350563,5,
thinker,branch_structure,"branch_entropy,tree_width",49188,0.3603317882410344,0.5772967362990442,0.0038583107361765717,0.40821585665956395,0.22668516749983908,5,
thinker,full_uncertainty,"entropy_actor,neg_q_gap,search_jsd_actor_root,rollout_spread,neg_actor_policy_gap,branch_entropy,tree_width",49188,0.3603317882410344,0.6264246881137941,0.004429533604210073,0.45650455277955765,0.2209003560655994,5,
