target,model,features,n,events,event_rate,aic,bic,llf,error,delta_aic
human,duration_only,bout_age,18751,2204,0.11754039784544824,13178.78111617822,13249.332137448007,-6580.39055808911,,11092.359513943473
human,uncertainty_only,"entropy_actor,neg_q_gap,rollout_spread,search_jsd_actor_root",18751,2204,0.11754039784544824,2221.6166088584278,2315.6846372181444,-1098.8083044292139,,135.19500662368137
human,duration_plus_uncertainty,"bout_age,entropy_actor,neg_q_gap,rollout_spread,search_jsd_actor_root",18751,2204,0.11754039784544824,2086.4216022347464,2188.3286329577727,-1030.2108011173732,,0.0
human,entropy_duration_interaction,"bout_age,entropy_actor,neg_q_gap,rollout_spread,search_jsd_actor_root",18751,2204,0.11754039784544824,2088.4215578356843,2198.1675909220203,-1030.2107789178422,,1.9999556009379376
thinker,duration_only,bout_age,17596,6984,0.39690838827006136,22594.86277487473,22664.84161681695,-11288.431387437366,,212.24572605112917
thinker,uncertainty_only,"entropy_actor,neg_q_gap,rollout_spread,search_jsd_actor_root",17596,6984,0.39690838827006136,22987.96728319655,23081.272405786174,-11481.983641598275,,605.3502343729488
thinker,duration_plus_uncertainty,"bout_age,entropy_actor,neg_q_gap,rollout_spread,search_jsd_actor_root",17596,6984,0.39690838827006136,22388.911658925364,22489.992208397456,-11181.455829462682,,6.294610101762373
thinker,entropy_duration_interaction,"bout_age,entropy_actor,neg_q_gap,rollout_spread,search_jsd_actor_root",17596,6984,0.39690838827006136,22382.617048823602,22491.473025178162,-11177.308524411801,,0.0
