target,model,term,feature,label,coef,se,z,p,sig,feature_mean,feature_sd,n,event_rate
human,actor_entropy,z_entropy_actor,entropy_actor,Actor entropy,0.420495094112244,0.04791110339557305,8.7765687765625,1.6853771821193367e-18,***,0.842722007547781,0.2818353873357483,49188,0.38983085305359033
human,q_conflict,z_neg_q_gap,neg_q_gap,Low Q gap,0.021776327650192395,0.015781593718055684,1.3798560550496335,0.16763096938912847,ns,-1.1682348250794792,1.5710126611453494,49188,0.38983085305359033
human,search_disagreement,z_search_jsd_actor_root,search_jsd_actor_root,Actor-root JSD,0.14871823462053754,0.015089356588637496,9.855836711588122,6.467573647620909e-23,***,0.10284623299246567,0.10925537151855132,49188,0.38983085305359033
human,rollout_spread,z_rollout_spread,rollout_spread,Rollout spread,-0.4056035514029426,0.02779487146184691,-14.592747872919686,3.123584136502878e-48,***,0.2261590485479015,0.3456031269212387,49188,0.38983085305359033
human,actor_margin,z_neg_actor_policy_gap,neg_actor_policy_gap,Low actor margin,0.26007059207578187,0.04691726165760294,5.54317500398358,2.970357220220416e-08,***,-0.5468881509261938,0.2146312385108833,49188,0.38983085305359033
human,branch_structure,z_branch_entropy,branch_entropy,Branch entropy,0.04354062666228596,0.013159098655058434,3.308784879848035,0.000937018029152799,***,0.7522599021839635,0.7151346056899736,49188,0.38983085305359033
human,branch_structure,z_tree_width,tree_width,Tree width,-0.45797775376354627,0.02257633646646831,-20.28574274855274,1.7184777853325493e-91,***,1.247926323493535,1.0133244450512215,49188,0.38983085305359033
human,full_uncertainty,z_entropy_actor,entropy_actor,Actor entropy,1.037415411665411,0.09612777357429711,10.792046596851566,3.753364943264289e-27,***,0.842722007547781,0.2818353873357483,49188,0.38983085305359033
human,full_uncertainty,z_neg_q_gap,neg_q_gap,Low Q gap,-0.11524792556198109,0.034979573696473004,-3.294720700772907,0.0009851954690543124,***,-1.1682348250794792,1.5710126611453494,49188,0.38983085305359033
human,full_uncertainty,z_search_jsd_actor_root,search_jsd_actor_root,Actor-root JSD,-0.023212998485296114,0.017882896550559635,-1.2980558501620185,0.19426814394400538,ns,0.10284623299246567,0.10925537151855132,49188,0.38983085305359033
human,full_uncertainty,z_rollout_spread,rollout_spread,Rollout spread,-0.2644058389709733,0.03733723494452719,-7.08155918251063,1.4254146868015475e-12,***,0.2261590485479015,0.3456031269212387,49188,0.38983085305359033
human,full_uncertainty,z_neg_actor_policy_gap,neg_actor_policy_gap,Low actor margin,-0.6925074263539684,0.12627162966990796,-5.484267750121556,4.15185539645977e-08,***,-0.5468881509261938,0.2146312385108833,49188,0.38983085305359033
human,full_uncertainty,z_branch_entropy,branch_entropy,Branch entropy,0.08625770667616525,0.030926300930502373,2.7891375328075507,0.005284861697357685,**,0.7522599021839635,0.7151346056899736,49188,0.38983085305359033
human,full_uncertainty,z_tree_width,tree_width,Tree width,-0.2915501185682706,0.02911421342514547,-10.014013235077254,1.3227527155949223e-23,***,1.247926323493535,1.0133244450512215,49188,0.38983085305359033
