term,coef,se,z,p,sig
Intercept,-2.2537300832802536e-17,,,,ns
z_enemy_count,0.01933057611882828,0.004451566001513486,4.342421546093236,1.4092081434239036e-05,***
z_enemies_y,0.028963754491094243,0.004458664909619644,6.4960599368219984,8.245081951125561e-11,***
z_player_x,-0.03143352673730934,0.0023188688090453845,-13.555543381623936,7.346608880186638e-42,***
z_num_lives,0.012492942868347583,0.0023175350461723285,5.3906165902349965,7.021634230968476e-08,***
subject Var,0.0,,,,ns
